Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	1	-84.8222
0.005	1	0	1	-84.8222
0.01	1	0	1	-84.8222
0.015	1	0	1	-84.8222
0.016125	1	0	1	-84.8222
0.0169688	1	0	1	-84.8222
0.0194687	1	0	1	-84.8222
0.02	1	0	1	-84.8222
0.0219687	1	0	1	-84.8222
0.0244688	1	0	1	-84.8222
0.025	1	0	1	-84.8222
0.0269687	1	0	1	-84.8222
0.0294687	1	0	1	-84.8222
0.03	1	0	1	-84.8222
0.0319687	1	0	1	-84.8222
0.0344687	1	0	1	-84.8222
0.035	1	0	1	-84.8222
0.0369688	1	0	1	-84.8222
0.0394687	1	0	1	-84.8222
0.04	1	0	1	-84.8222
0.0419687	1	0	1	-84.8222
0.0444688	1	0	1	-84.8222
0.045	1	0	1	-84.8222
0.0469687	1	0	1	-84.8222
0.0494687	1	0	1	-84.8222
0.05	1	0	1	-84.8222
0.0519688	1	0	1	-84.8222
0.0544688	1	0	1	-84.8222
0.055	1	0	1	-84.8222
0.0569687	1	0	1	-84.8222
0.0594688	1	0	1	-84.8222
0.06	1	0	1	-84.8222
0.0619688	1	0	1	-84.8222
0.0644688	1	0	1	-84.8222
0.065	1	0	1	-84.8222
0.0669687	1	0	1	-84.8222
0.0694687	1	0	1	-84.8222
0.07	1	0	1	-84.8222
0.0719687	1	0	1	-84.8222
0.0744688	1	0	1	-84.8222
0.075	1	0	1	-84.8222
0.0769688	1	0	1	-84.8222
0.0794688	1	0	1	-84.8222
0.08	1	0	1	-84.8222
0.0819688	1	0	1	-84.8222
0.0844687	1	0	1	-84.8222
0.085	1	0	1	-84.8222
0.0869687	1	0	1	-84.8222
0.0894687	1	0	1	-84.8222
0.09	1	0	1	-84.8222
0.0919688	1	0	1	-84.8222
0.0944688	1	0	1	-84.8222
0.095	1	0	1	-84.8222
0.0969688	1	0	1	-84.8222
0.0994687	1	0	1	-84.8222
0.1	1	0	1	-84.8222
0.101969	1	0	1	-84.8222
0.104469	1	0	1	-84.8222
0.105	1	0	1	-84.8222
0.106969	1	0	1	-84.8222
0.109469	1	0	1	-84.8222
0.11	1	0	1	-84.8222
0.111969	1	0	1	-84.8222
0.114469	1	0	1	-84.8222
0.115	1	0	1	-84.8222
0.116969	1	0	1	-84.8222
0.119469	1	0	1	-84.8222
0.12	1	0	1	-84.8222
0.121969	1	0	1	-84.8222
0.124469	1	0	1	-84.8222
0.125	1	0	1	-84.8222
0.126969	1	0	1	-84.8222
0.129469	1	0	1	-84.8222
0.13	1	0	1	-84.8222
0.131969	1	0	1	-84.8222
0.134469	1	0	1	-84.8222
0.135	1	0	1	-84.8222
0.136969	1	0	1	-84.8222
0.139469	1	0	1	-84.8222
0.14	1	0	1	-84.8222
0.141969	1	0	1	-84.8222
0.144469	1	0	1	-84.8222
0.145	1	0	1	-84.8222
0.146969	1	0	1	-84.8222
0.149469	1	0	1	-84.8222
0.15	1	0	1	-84.8222
0.151969	1	0	1	-84.8222
0.154469	1	0	1	-84.8222
0.155	1	0	1	-84.8222
0.156969	1	0	1	-84.8222
0.159469	1	0	1	-84.8222
0.16	1	0	1	-84.8222
0.161969	1	0	1	-84.8222
0.164469	1	0	1	-84.8222
0.165	1	0	1	-84.8222
0.166969	1	0	1	-84.8222
0.169469	1	0	1	-84.8222
0.17	1	0	1	-84.8222
0.171969	1	0	1	-84.8222
0.174469	1	0	1	-84.8222
0.175	1	0	1	-84.8222
0.176969	1	0	1	-84.8222
0.179469	1	0	1	-84.8222
0.18	1	0	1	-84.8222
0.181969	1	0	1	-84.8222
0.184469	1	0	1	-84.8222
0.185	1	0	1	-84.8222
0.186969	1	0	1	-84.8222
0.189469	1	0	1	-84.8222
0.19	1	0	1	-84.8222
0.191969	1	0	1	-84.8222
0.194469	1	0	1	-84.8222
0.195	1	0	1	-84.8222
0.196969	1	0	1	-84.8222
0.199469	1	0	1	-84.8222
0.2	1	0	1	-84.8222
0.201969	1	0	1	-84.8222
0.204469	1	0	1	-84.8222
0.205	1	0	1	-84.8222
0.206969	1	0	1	-84.8222
0.209469	1	0	1	-84.8222
0.21	1	0	1	-84.8222
0.211969	1	0	1	-84.8222
0.214469	1	0	1	-84.8222
0.215	1	0	1	-84.8222
0.216969	1	0	1	-84.8222
0.219469	1	0	1	-84.8222
0.22	1	0	1	-84.8222
0.221969	1	0	1	-84.8222
0.224469	1	0	1	-84.8222
0.225	1	0	1	-84.8222
0.226969	1	0	1	-84.8222
0.229469	1	0	1	-84.8222
0.23	1	0	1	-84.8222
0.231969	1	0	1	-84.8222
0.234469	1	0	1	-84.8222
0.235	1	0	1	-84.8222
0.236969	1	0	1	-84.8222
0.239469	1	0	1	-84.8222
0.24	1	0	1	-84.8222
0.241969	1	0	1	-84.8222
0.244469	1	0	1	-84.8222
0.245	1	0	1	-84.8222
0.246969	1	0	1	-84.8222
0.249469	1	0	1	-84.8222
0.25	1	0	1	-84.8222
0.251969	1	0	1	-84.8222
0.254469	1	0	1	-84.8222
0.255	1	0	1	-84.8222
0.256969	1	0	1	-84.8222
0.259469	1	0	1	-84.8222
0.26	1	0	1	-84.8222
0.261969	1	0	1	-84.8222
0.264469	1	0	1	-84.8222
0.265	1	0	1	-84.8222
0.266969	1	0	1	-84.8222
0.269469	1	0	1	-84.8222
0.27	1	0	1	-84.8222
0.271969	1	0	1	-84.8222
0.274469	1	0	1	-84.8222
0.275	1	0	1	-84.8222
0.276969	1	0	1	-84.8222
0.279469	1	0	1	-84.8222
0.28	1	0	1	-84.8222
0.281969	1	0	1	-84.8222
0.284469	1	0	1	-84.8222
0.285	1	0	1	-84.8222
0.286969	1	0	1	-84.8222
0.289469	1	0	1	-84.8222
0.29	1	0	1	-84.8222
0.291969	1	0	1	-84.8222
0.294469	1	0	1	-84.8222
0.295	1	0	1	-84.8222
0.296969	1	0	1	-84.8222
0.299469	1	0	1	-84.8222
0.3	1	0	1	-84.8222
0.301969	1	0	1	-84.8222
0.304469	1	0	1	-84.8222
0.305	1	0	1	-84.8222
0.306969	1	0	1	-84.8222
0.309469	1	0	1	-84.8222
0.31	1	0	1	-84.8222
0.311969	1	0	1	-84.8222
0.314469	1	0	1	-84.8222
0.315	1	0	1	-84.8222
0.316969	1	0	1	-84.8222
0.319469	1	0	1	-84.8222
0.32	1	0	1	-84.8222
0.321969	1	0	1	-84.8222
0.324469	1	0	1	-84.8222
0.325	1	0	1	-84.8222
0.326969	1	0	1	-84.8222
0.329469	1	0	1	-84.8222
0.33	1	0	1	-84.8222
0.331969	1	0	1	-84.8222
0.334469	1	0	1	-84.8222
0.335	1	0	1	-84.8222
0.336969	1	0	1	-84.8222
0.339469	1	0	1	-84.8222
0.34	1	0	1	-84.8222
0.341969	1	0	1	-84.8222
0.344469	1	0	1	-84.8222
0.345	1	0	1	-84.8222
0.346969	1	0	1	-84.8222
0.349469	1	0	1	-84.8222
0.35	1	0	1	-84.8222
0.351969	1	0	1	-84.8222
0.354469	1	0	1	-84.8222
0.355	1	0	1	-84.8222
0.356969	1	0	1	-84.8222
0.359469	1	0	1	-84.8222
0.36	1	0	1	-84.8222
0.361969	1	0	1	-84.8222
