% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.104	1	0	1	1	10	6	0	10	3	15	1	0	0	49
0.109	1	0	1	1	11	1	0	0	13	15	1	0	28	5271
0.1095	1	0	1	1	11	1	1	7	6	14	1	0	28	2433
0.204	1	0	1	1	20	6	0	12	1	15	1	0	28	403
0.209	1	0	1	1	21	1	0	0	13	15	1	0	28	5271
0.2095	1	0	1	1	21	1	1	7	6	14	1	0	28	2433
0.304	1	0	1	1	30	6	0	12	1	15	1	0	28	403
0.309	1	0	1	1	31	1	0	0	13	15	1	0	28	5271
0.3095	1	0	1	1	31	1	1	7	6	14	1	0	28	2433
0.404	1	0	1	1	40	6	0	12	1	15	1	0	28	403
0.409	1	0	1	1	41	1	0	0	13	15	1	0	28	5271
0.4095	1	0	1	1	41	1	1	7	6	14	1	0	28	2433
0.504	1	0	1	1	50	6	0	12	1	15	1	0	28	403
0.509	1	0	1	1	51	1	0	0	13	15	1	0	28	5271
0.5095	1	0	1	1	51	1	1	7	6	14	1	0	28	2433
0.604	1	0	1	1	60	6	0	12	1	15	1	0	28	403
0.609	1	0	1	1	61	1	0	0	13	15	1	0	28	5271
0.6095	1	0	1	1	61	1	1	7	6	14	1	0	28	2433
0.704	1	0	1	1	70	6	0	12	1	15	1	0	28	403
0.709	1	0	1	1	71	1	0	0	13	15	1	0	28	5271
0.7095	1	0	1	1	71	1	1	7	6	14	1	0	28	2433
0.804	1	0	1	1	80	6	0	12	1	15	1	0	28	403
0.809	1	0	1	1	81	1	0	0	13	15	1	0	28	5271
0.8095	1	0	1	1	81	1	1	7	6	14	1	0	28	2433
0.904	1	0	1	1	90	6	0	12	1	15	1	0	28	403
0.909	1	0	1	1	91	1	0	0	13	15	1	0	28	5271
0.9095	1	0	1	1	91	1	1	7	6	14	1	0	28	2433
1.004	1	0	1	1	100	6	0	12	1	15	1	0	28	403
1.009	1	0	1	1	101	1	0	0	13	15	1	0	28	5271
1.0095	1	0	1	1	101	1	1	7	6	14	1	0	28	2433
1.104	1	0	1	1	110	6	0	12	1	15	1	0	28	403
1.109	1	0	1	1	111	1	0	0	13	15	1	0	28	5271
1.1095	1	0	1	1	111	1	1	7	6	14	1	0	28	2433
1.204	1	0	1	1	120	6	0	12	1	15	1	0	28	403
1.209	1	0	1	1	121	1	0	0	13	15	1	0	28	5271
1.2095	1	0	1	1	121	1	1	7	6	14	1	0	28	2433
1.304	1	0	1	1	130	6	0	12	1	15	1	0	28	403
1.309	1	0	1	1	131	1	0	0	13	15	1	0	28	5271
1.3095	1	0	1	1	131	1	1	7	6	14	1	0	28	2433
1.404	1	0	1	1	140	6	0	12	1	15	1	0	28	403
1.409	1	0	1	1	141	1	0	0	13	15	1	0	28	5271
1.4095	1	0	1	1	141	1	1	7	6	14	1	0	28	2433
1.504	1	0	1	1	150	6	0	12	1	15	1	0	28	403
1.509	1	0	1	1	151	1	0	0	13	15	1	0	28	5271
1.5095	1	0	1	1	151	1	1	7	6	14	1	0	28	2433
1.604	1	0	1	1	160	6	0	12	1	15	1	0	28	403
1.609	1	0	1	1	161	1	0	0	13	15	1	0	28	5271
1.6095	1	0	1	1	161	1	1	7	6	14	1	0	28	2433
1.704	1	0	1	1	170	6	0	12	1	15	1	0	28	403
1.709	1	0	1	1	171	1	0	0	13	15	1	0	28	5271
1.7095	1	0	1	1	171	1	1	7	6	14	1	0	28	2433
1.804	1	0	1	1	180	6	0	12	1	15	1	0	28	403
1.809	1	0	1	1	181	1	0	0	13	15	1	0	28	5271
1.8095	1	0	1	1	181	1	1	7	6	14	1	0	28	2433
1.904	1	0	1	1	190	6	0	12	1	15	1	0	28	403
1.909	1	0	1	1	191	1	0	0	13	15	1	0	28	5271
1.9095	1	0	1	1	191	1	1	7	6	14	1	0	28	2433
2.004	1	0	1	1	200	6	0	12	1	15	1	0	28	403
2.009	1	0	1	1	201	1	0	0	13	15	1	0	28	5271
2.0095	1	0	1	1	201	1	1	7	6	14	1	0	28	2433
2.104	1	0	1	1	210	6	0	12	1	15	1	0	28	403
2.109	1	0	1	1	211	1	0	0	13	15	1	0	28	5271
2.1095	1	0	1	1	211	1	1	7	6	14	1	0	28	2433
2.204	1	0	1	1	220	6	0	12	1	15	1	0	28	403
2.209	1	0	1	1	221	1	0	0	13	15	1	0	28	5271
2.2095	1	0	1	1	221	1	1	7	6	14	1	0	28	2433
2.304	1	0	1	1	230	6	0	12	1	15	1	0	28	403
2.309	1	0	1	1	231	1	0	0	13	15	1	0	28	5271
2.3095	1	0	1	1	231	1	1	7	6	14	1	0	28	2433
2.404	1	0	1	1	240	6	0	12	1	15	1	0	28	403
2.409	1	0	1	1	241	1	0	0	13	15	1	0	28	5271
2.4095	1	0	1	1	241	1	1	7	6	14	1	0	28	2433
2.504	1	0	1	1	250	6	0	12	1	15	1	0	28	403
2.509	1	0	1	1	251	1	0	0	13	15	1	0	28	5271
2.5095	1	0	1	1	251	1	1	7	6	14	1	0	28	2433
2.604	1	0	1	1	260	6	0	12	1	15	1	0	28	403
2.609	1	0	1	1	261	1	0	0	13	15	1	0	28	5271
2.6095	1	0	1	1	261	1	1	7	6	14	1	0	28	2433
2.704	1	0	1	1	270	6	0	12	1	15	1	0	28	403
2.709	1	0	1	1	271	1	0	0	13	15	1	0	28	5271
2.7095	1	0	1	1	271	1	1	7	6	14	1	0	28	2433
2.804	1	0	1	1	280	6	0	12	1	15	1	0	28	403
2.809	1	0	1	1	281	1	0	0	13	15	1	0	28	5271
2.8095	1	0	1	1	281	1	1	7	6	14	1	0	28	2433
2.904	1	0	1	1	290	6	0	12	1	15	1	0	28	403
2.909	1	0	1	1	291	1	0	0	13	15	1	0	28	5271
2.9095	1	0	1	1	291	1	1	7	6	14	1	0	28	2433
3.004	1	0	1	1	300	6	0	12	1	15	1	0	28	403
3.009	1	0	1	1	301	1	0	0	13	15	1	0	28	5271
3.0095	1	0	1	1	301	1	1	7	6	14	1	0	28	2433
3.104	1	0	1	1	310	6	0	12	1	15	1	0	28	403
3.109	1	0	1	1	311	1	0	0	13	15	1	0	28	5271
3.1095	1	0	1	1	311	1	1	7	6	14	1	0	28	2433
3.204	1	0	1	1	320	6	0	12	1	15	1	0	28	403
3.209	1	0	1	1	321	1	0	0	13	15	1	0	28	5271
3.2095	1	0	1	1	321	1	1	7	6	14	1	0	28	2433
3.304	1	0	1	1	330	6	0	12	1	15	1	0	28	403
3.309	1	0	1	1	331	1	0	0	13	15	1	0	28	5271
3.3095	1	0	1	1	331	1	1	7	6	14	1	0	28	2433
3.404	1	0	1	1	340	6	0	12	1	15	1	0	28	403
3.409	1	0	1	1	341	1	0	0	13	15	1	0	28	5271
3.4095	1	0	1	1	341	1	1	7	6	14	1	0	28	2433
3.504	1	0	1	1	350	6	0	12	1	15	1	0	28	403
3.509	1	0	1	1	351	1	0	0	13	15	1	0	28	5271
3.5095	1	0	1	1	351	1	1	7	6	14	1	0	28	2433
3.604	1	0	1	1	360	6	0	12	1	15	1	0	28	403
3.609	1	0	1	1	361	1	0	0	13	15	1	0	28	5271
3.6095	1	0	1	1	361	1	1	7	6	14	1	0	28	2433
3.704	1	0	1	1	370	6	0	12	1	15	1	0	28	403
3.709	1	0	1	1	371	1	0	0	13	15	1	0	28	5271
3.7095	1	0	1	1	371	1	1	7	6	14	1	0	28	2433
3.804	1	0	1	1	380	6	0	12	1	15	1	0	28	403
3.809	1	0	1	1	381	1	0	0	13	15	1	0	28	5271
3.8095	1	0	1	1	381	1	1	7	6	14	1	0	28	2433
3.904	1	0	1	1	390	6	0	12	1	15	1	0	28	403
3.909	1	0	1	1	391	1	0	0	13	15	1	0	28	5271
3.9095	1	0	1	1	391	1	1	7	6	14	1	0	28	2433
4.004	1	0	1	1	400	6	0	12	1	15	1	0	28	403
4.009	1	0	1	1	401	1	0	0	13	15	1	0	28	5271
4.0095	1	0	1	1	401	1	1	7	6	14	1	0	28	2433
4.104	1	0	1	1	410	6	0	12	1	15	1	0	28	403
4.109	1	0	1	1	411	1	0	0	13	15	1	0	28	5271
4.1095	1	0	1	1	411	1	1	7	6	14	1	0	28	2433
4.204	1	0	1	1	420	6	0	12	1	15	1	0	28	403
4.209	1	0	1	1	421	1	0	0	13	15	1	0	28	5271
4.2095	1	0	1	1	421	1	1	7	6	14	1	0	28	2433
4.304	1	0	1	1	430	6	0	12	1	15	1	0	28	403
4.309	1	0	1	1	431	1	0	0	13	15	1	0	28	5271
4.3095	1	0	1	1	431	1	1	7	6	14	1	0	28	2433
4.404	1	0	1	1	440	6	0	12	1	15	1	0	28	403
4.409	1	0	1	1	441	1	0	0	13	15	1	0	28	5271
4.4095	1	0	1	1	441	1	1	7	6	14	1	0	28	2433
4.504	1	0	1	1	450	6	0	12	1	15	1	0	28	403
4.509	1	0	1	1	451	1	0	0	13	15	1	0	28	5271
4.5095	1	0	1	1	451	1	1	7	6	14	1	0	28	2433
4.604	1	0	1	1	460	6	0	12	1	15	1	0	28	403
4.609	1	0	1	1	461	1	0	0	13	15	1	0	28	5271
4.6095	1	0	1	1	461	1	1	7	6	14	1	0	28	2433
