time(s)	cellId	rnti	lcid	packetSize
0.1	2	1	3	6030
0.2	2	1	3	6030
0.3	2	1	3	6030
0.4	2	1	3	6030
0.5	2	1	3	6030
0.6	2	1	3	6030
0.7	2	1	3	6030
0.8	2	1	3	6030
0.9	2	1	3	6030
1	2	1	3	6030
1.1	2	1	3	6030
1.2	2	1	3	6030
1.3	2	1	3	6030
1.4	2	1	3	6030
1.5	2	1	3	6030
1.6	2	1	3	6030
1.7	2	1	3	6030
1.8	2	1	3	6030
1.9	2	1	3	6030
2	2	1	3	6030
2.1	2	1	3	6030
2.2	2	1	3	6030
2.3	2	1	3	6030
2.4	2	1	3	6030
2.5	2	1	3	6030
2.6	2	1	3	6030
2.7	2	1	3	6030
2.8	2	1	3	6030
2.9	2	1	3	6030
3	2	1	3	6030
3.1	2	1	3	6030
3.2	2	1	3	6030
3.3	2	1	3	6030
3.4	2	1	3	6030
3.5	2	1	3	6030
3.6	2	1	3	6030
3.7	2	1	3	6030
3.8	2	1	3	6030
3.9	2	1	3	6030
4	2	1	3	6030
4.1	2	1	3	6030
4.2	2	1	3	6030
4.3	2	1	3	6030
4.4	2	1	3	6030
4.5	2	1	3	6030
4.6	2	1	3	6030
4.7	2	1	3	6030
4.8	2	1	3	6030
4.9	2	1	3	6030
5	2	1	3	6030
5.1	2	1	3	6030
5.2	2	1	3	6030
5.3	2	1	3	6030
5.4	2	1	3	6030
5.5	2	1	3	6030
5.6	2	1	3	6030
5.7	2	1	3	6030
5.8	2	1	3	6030
5.9	2	1	3	6030
6	2	1	3	6030
6.1	2	1	3	6030
6.2	2	1	3	6030
6.3	2	1	3	6030
6.4	2	1	3	6030
6.5	2	1	3	6030
6.6	2	1	3	6030
6.7	2	1	3	6030
6.8	2	1	3	6030
6.9	2	1	3	6030
7	2	1	3	6030
7.1	2	1	3	6030
7.2	2	1	3	6030
7.3	2	1	3	6030
7.4	2	1	3	6030
7.5	2	1	3	6030
7.6	2	1	3	6030
7.7	2	1	3	6030
7.8	2	1	3	6030
7.9	2	1	3	6030
8	2	1	3	6030
8.1	2	1	3	6030
8.2	2	1	3	6030
8.3	2	1	3	6030
8.4	2	1	3	6030
8.5	2	1	3	6030
8.6	2	1	3	6030
8.7	2	1	3	6030
8.8	2	1	3	6030
8.9	2	1	3	6030
9	2	1	3	6030
9.1	2	1	3	6030
9.2	2	1	3	6030
9.3	2	1	3	6030
9.4	2	1	3	6030
9.5	2	1	3	6030
9.6	2	1	3	6030
9.7	2	1	3	6030
9.8	2	1	3	6030
9.9	2	1	3	6030
10	2	1	3	6030
10.1	2	1	3	6030
10.2	2	1	3	6030
10.3	2	1	3	6030
10.4	2	1	3	6030
10.5	2	1	3	6030
10.6	2	1	3	6030
10.7	2	1	3	6030
10.8	2	1	3	6030
10.9	2	1	3	6030
11	2	1	3	6030
11.1	2	1	3	6030
11.2	2	1	3	6030
11.3	2	1	3	6030
11.4	2	1	3	6030
11.5	2	1	3	6030
11.6	2	1	3	6030
11.7	2	1	3	6030
11.8	2	1	3	6030
11.9	2	1	3	6030
12	2	1	3	6030
12.1	2	1	3	6030
12.2	2	1	3	6030
12.3	2	1	3	6030
12.4	2	1	3	6030
12.5	2	1	3	6030
12.6	2	1	3	6030
12.7	2	1	3	6030
12.8	2	1	3	6030
12.9	2	1	3	6030
13	2	1	3	6030
13.1	2	1	3	6030
13.2	2	1	3	6030
13.3	2	1	3	6030
13.4	2	1	3	6030
13.5	2	1	3	6030
13.6	2	1	3	6030
13.7	2	1	3	6030
13.8	2	1	3	6030
13.9	2	1	3	6030
14	2	1	3	6030
14.1	2	1	3	6030
14.2	2	1	3	6030
14.3	2	1	3	6030
14.4	2	1	3	6030
14.5	2	1	3	6030
14.6	2	1	3	6030
14.7	2	1	3	6030
14.8	2	1	3	6030
14.9	2	1	3	6030
15	2	1	3	6030
15.1	2	1	3	6030
15.2	2	1	3	6030
15.3	2	1	3	6030
15.4	2	1	3	6030
15.5	2	1	3	6030
15.6	2	1	3	6030
15.7	2	1	3	6030
15.8	2	1	3	6030
15.9	2	1	3	6030
16	2	1	3	6030
16.1	2	1	3	6030
16.2	2	1	3	6030
16.3	2	1	3	6030
16.4	2	1	3	6030
16.5	2	1	3	6030
16.6	2	1	3	6030
16.7	2	1	3	6030
16.8	2	1	3	6030
16.9	2	1	3	6030
17	2	1	3	6030
17.1	2	1	3	6030
17.2	2	1	3	6030
17.3	2	1	3	6030
17.4	2	1	3	6030
17.5	2	1	3	6030
17.6	2	1	3	6030
17.7	2	1	3	6030
17.8	2	1	3	6030
17.9	2	1	3	6030
18	2	1	3	6030
18.1	2	1	3	6030
18.2	2	1	3	6030
18.3	2	1	3	6030
18.4	2	1	3	6030
18.5	2	1	3	6030
18.6	2	1	3	6030
18.7	2	1	3	6030
18.8	2	1	3	6030
18.9	2	1	3	6030
19	2	1	3	6030
19.1	2	1	3	6030
19.2	2	1	3	6030
19.3	2	1	3	6030
19.4	2	1	3	6030
19.5	2	1	3	6030
19.6	2	1	3	6030
19.7	2	1	3	6030
19.8	2	1	3	6030
