time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.106564	2	1	3	41	0.00152857
0.111564	2	1	3	5263	0.00152857
0.112064	2	1	3	732	0.00152857
0.206564	2	1	3	395	0.00152857
0.211564	2	1	3	5263	0.00152857
0.212064	2	1	3	378	0.00152857
0.306564	2	1	3	395	0.00152857
0.311564	2	1	3	5263	0.00152857
0.312064	2	1	3	378	0.00152857
0.406564	2	1	3	395	0.00152857
0.411564	2	1	3	5263	0.00152857
0.412064	2	1	3	378	0.00152857
0.506564	2	1	3	395	0.00152857
0.511564	2	1	3	5263	0.00152857
0.512064	2	1	3	378	0.00152857
0.606564	2	1	3	395	0.00152857
0.611564	2	1	3	5263	0.00152857
0.612064	2	1	3	378	0.00152857
0.706564	2	1	3	395	0.00152857
0.711564	2	1	3	5263	0.00152857
0.712064	2	1	3	378	0.00152857
0.806564	2	1	3	395	0.00152857
0.811564	2	1	3	5263	0.00152857
0.812064	2	1	3	378	0.00152857
0.906564	2	1	3	395	0.00152857
0.911564	2	1	3	5263	0.00152857
0.912064	2	1	3	378	0.00152857
1.00656	2	1	3	395	0.00152857
1.01156	2	1	3	5263	0.00152857
1.01206	2	1	3	378	0.00152857
1.10656	2	1	3	395	0.00152857
1.11156	2	1	3	5263	0.00152857
1.11206	2	1	3	378	0.00152857
1.20656	2	1	3	395	0.00152857
1.21156	2	1	3	5263	0.00152857
1.21206	2	1	3	378	0.00152857
1.30656	2	1	3	395	0.00152857
1.31156	2	1	3	5263	0.00152857
1.31206	2	1	3	378	0.00152857
1.40656	2	1	3	395	0.00152857
1.41156	2	1	3	5263	0.00152857
1.41206	2	1	3	378	0.00152857
1.50656	2	1	3	395	0.00152857
1.51156	2	1	3	5263	0.00152857
1.51206	2	1	3	378	0.00152857
1.60656	2	1	3	395	0.00152857
1.61156	2	1	3	5263	0.00152857
1.61206	2	1	3	378	0.00152857
1.70656	2	1	3	395	0.00152857
1.71156	2	1	3	5263	0.00152857
1.71206	2	1	3	378	0.00152857
1.80656	2	1	3	395	0.00152857
1.81156	2	1	3	5263	0.00152857
1.81206	2	1	3	378	0.00152857
1.90656	2	1	3	395	0.00152857
1.91156	2	1	3	5263	0.00152857
1.91206	2	1	3	378	0.00152857
2.00656	2	1	3	395	0.00152857
2.01156	2	1	3	5263	0.00152857
2.01206	2	1	3	378	0.00152857
2.10656	2	1	3	395	0.00152857
2.11156	2	1	3	5263	0.00152857
2.11206	2	1	3	378	0.00152857
2.20656	2	1	3	395	0.00152857
2.21156	2	1	3	5263	0.00152857
2.21206	2	1	3	378	0.00152857
2.30656	2	1	3	395	0.00152857
2.31156	2	1	3	5263	0.00152857
2.31206	2	1	3	378	0.00152857
2.40656	2	1	3	395	0.00152857
2.41156	2	1	3	5263	0.00152857
2.41206	2	1	3	378	0.00152857
2.50656	2	1	3	395	0.00152857
2.51156	2	1	3	5263	0.00152857
2.51206	2	1	3	378	0.00152857
2.60656	2	1	3	395	0.00152857
2.61156	2	1	3	5263	0.00152857
2.61206	2	1	3	378	0.00152857
2.70656	2	1	3	395	0.00152857
2.71156	2	1	3	5263	0.00152857
2.71206	2	1	3	378	0.00152857
2.80656	2	1	3	395	0.00152857
2.81156	2	1	3	5263	0.00152857
2.81206	2	1	3	378	0.00152857
2.90656	2	1	3	395	0.00152857
2.91156	2	1	3	5263	0.00152857
2.91206	2	1	3	378	0.00152857
3.00656	2	1	3	395	0.00152857
3.01156	2	1	3	5263	0.00152857
3.01206	2	1	3	378	0.00152857
3.10656	2	1	3	395	0.00152857
3.11156	2	1	3	5263	0.00152857
3.11206	2	1	3	378	0.00152857
3.20656	2	1	3	395	0.00152857
3.21156	2	1	3	5263	0.00152857
3.21206	2	1	3	378	0.00152857
3.30656	2	1	3	395	0.00152857
3.31156	2	1	3	5263	0.00152857
3.31206	2	1	3	378	0.00152857
3.40656	2	1	3	395	0.00152857
3.41156	2	1	3	5263	0.00152857
3.41206	2	1	3	378	0.00152857
3.50656	2	1	3	395	0.00152857
3.51156	2	1	3	5263	0.00152857
3.51206	2	1	3	378	0.00152857
3.60656	2	1	3	395	0.00152857
3.61156	2	1	3	5263	0.00152857
3.61206	2	1	3	378	0.00152857
3.70656	2	1	3	395	0.00152857
3.71156	2	1	3	5263	0.00152857
3.71206	2	1	3	378	0.00152857
3.80656	2	1	3	395	0.00152857
3.81156	2	1	3	5263	0.00152857
3.81206	2	1	3	378	0.00152857
3.90656	2	1	3	395	0.00152857
3.91156	2	1	3	5263	0.00152857
3.91206	2	1	3	378	0.00152857
4.00656	2	1	3	395	0.00152857
4.01156	2	1	3	5263	0.00152857
4.01206	2	1	3	378	0.00152857
4.10656	2	1	3	395	0.00152857
4.11156	2	1	3	5263	0.00152857
4.11206	2	1	3	378	0.00152857
4.20656	2	1	3	395	0.00152857
4.21156	2	1	3	5263	0.00152857
4.21206	2	1	3	378	0.00152857
4.30656	2	1	3	395	0.00152857
4.31156	2	1	3	5263	0.00152857
4.31206	2	1	3	378	0.00152857
4.40656	2	1	3	395	0.00152857
4.41156	2	1	3	5263	0.00152857
4.41206	2	1	3	378	0.00152857
4.50656	2	1	3	395	0.00152857
4.51156	2	1	3	5263	0.00152857
4.51206	2	1	3	378	0.00152857
4.60656	2	1	3	395	0.00152857
4.61156	2	1	3	5263	0.00152857
4.61206	2	1	3	378	0.00152857
4.70656	2	1	3	395	0.00152857
4.71156	2	1	3	5263	0.00152857
4.71206	2	1	3	378	0.00152857
4.80656	2	1	3	395	0.00152857
4.81156	2	1	3	5263	0.00152857
4.81206	2	1	3	378	0.00152857
4.90656	2	1	3	395	0.00152857
4.91156	2	1	3	5263	0.00152857
4.91206	2	1	3	378	0.00152857
5.00656	2	1	3	395	0.00152857
5.01156	2	1	3	5263	0.00152857
5.01206	2	1	3	378	0.00152857
5.10656	2	1	3	395	0.00152857
5.11156	2	1	3	5263	0.00152857
5.11206	2	1	3	378	0.00152857
5.20656	2	1	3	395	0.00152857
5.21156	2	1	3	5263	0.00152857
5.21206	2	1	3	378	0.00152857
5.30656	2	1	3	395	0.00152857
5.31156	2	1	3	5263	0.00152857
5.31206	2	1	3	378	0.00152857
5.40656	2	1	3	395	0.00152857
5.41156	2	1	3	5263	0.00152857
5.41206	2	1	3	378	0.00152857
5.50656	2	1	3	395	0.00152857
5.51156	2	1	3	5263	0.00152857
5.51206	2	1	3	378	0.00152857
5.60656	2	1	3	395	0.00152857
5.61156	2	1	3	5263	0.00152857
5.61206	2	1	3	378	0.00152857
5.70656	2	1	3	395	0.00152857
5.71156	2	1	3	5263	0.00152857
5.71206	2	1	3	378	0.00152857
5.80656	2	1	3	395	0.00152857
5.81156	2	1	3	5263	0.00152857
5.81206	2	1	3	378	0.00152857
5.90656	2	1	3	395	0.00152857
5.91156	2	1	3	5263	0.00152857
5.91206	2	1	3	378	0.00152857
6.00656	2	1	3	395	0.00152857
6.01156	2	1	3	5263	0.00152857
6.01206	2	1	3	378	0.00152857
6.10656	2	1	3	395	0.00152857
6.11156	2	1	3	5263	0.00152857
6.11206	2	1	3	378	0.00152857
6.20656	2	1	3	395	0.00152857
6.21156	2	1	3	5263	0.00152857
6.21206	2	1	3	378	0.00152857
6.30656	2	1	3	395	0.00152857
6.31156	2	1	3	5263	0.00152857
6.31206	2	1	3	378	0.00152857
6.40656	2	1	3	395	0.00152857
6.41156	2	1	3	5263	0.00152857
6.41206	2	1	3	378	0.00152857
6.50656	2	1	3	395	0.00152857
6.51156	2	1	3	5263	0.00152857
6.51206	2	1	3	378	0.00152857
6.60656	2	1	3	395	0.00152857
6.61156	2	1	3	5263	0.00152857
6.61206	2	1	3	378	0.00152857
6.70656	2	1	3	395	0.00152857
6.71156	2	1	3	5263	0.00152857
6.71206	2	1	3	378	0.00152857
6.80656	2	1	3	395	0.00152857
6.81156	2	1	3	5263	0.00152857
6.81206	2	1	3	378	0.00152857
6.90656	2	1	3	395	0.00152857
6.91156	2	1	3	5263	0.00152857
6.91206	2	1	3	378	0.00152857
7.00656	2	1	3	395	0.00152857
7.01156	2	1	3	5263	0.00152857
7.01206	2	1	3	378	0.00152857
7.10656	2	1	3	395	0.00152857
7.11156	2	1	3	5263	0.00152857
7.11206	2	1	3	378	0.00152857
7.20656	2	1	3	395	0.00152857
7.21156	2	1	3	5263	0.00152857
7.21206	2	1	3	378	0.00152857
7.30656	2	1	3	395	0.00152857
7.31156	2	1	3	5263	0.00152857
7.31206	2	1	3	378	0.00152857
7.40656	2	1	3	395	0.00152857
7.41156	2	1	3	5263	0.00152857
7.41206	2	1	3	378	0.00152857
7.50656	2	1	3	395	0.00152857
7.51156	2	1	3	5263	0.00152857
7.51206	2	1	3	378	0.00152857
7.60656	2	1	3	395	0.00152857
7.61156	2	1	3	5263	0.00152857
7.61206	2	1	3	378	0.00152857
7.70656	2	1	3	395	0.00152857
7.71156	2	1	3	5263	0.00152857
7.71206	2	1	3	378	0.00152857
7.80656	2	1	3	395	0.00152857
7.81156	2	1	3	5263	0.00152857
7.81206	2	1	3	378	0.00152857
7.90656	2	1	3	395	0.00152857
7.91156	2	1	3	5263	0.00152857
7.91206	2	1	3	378	0.00152857
8.00656	2	1	3	395	0.00152857
8.01156	2	1	3	5263	0.00152857
8.01206	2	1	3	378	0.00152857
8.10656	2	1	3	395	0.00152857
8.11156	2	1	3	5263	0.00152857
8.11206	2	1	3	378	0.00152857
8.20656	2	1	3	395	0.00152857
8.21156	2	1	3	5263	0.00152857
8.21206	2	1	3	378	0.00152857
8.30656	2	1	3	395	0.00152857
8.31156	2	1	3	5263	0.00152857
8.31206	2	1	3	378	0.00152857
8.40656	2	1	3	395	0.00152857
8.41156	2	1	3	5263	0.00152857
8.41206	2	1	3	378	0.00152857
8.50656	2	1	3	395	0.00152857
8.51156	2	1	3	5263	0.00152857
8.51206	2	1	3	378	0.00152857
8.60656	2	1	3	395	0.00152857
8.61156	2	1	3	5263	0.00152857
8.61206	2	1	3	378	0.00152857
8.70656	2	1	3	395	0.00152857
8.71156	2	1	3	5263	0.00152857
8.71206	2	1	3	378	0.00152857
8.80656	2	1	3	395	0.00152857
8.81156	2	1	3	5263	0.00152857
8.81206	2	1	3	378	0.00152857
8.90656	2	1	3	395	0.00152857
8.91156	2	1	3	5263	0.00152857
8.91206	2	1	3	378	0.00152857
9.00656	2	1	3	395	0.00152857
9.01156	2	1	3	5263	0.00152857
9.01206	2	1	3	378	0.00152857
9.10656	2	1	3	395	0.00152857
9.11156	2	1	3	5263	0.00152857
9.11206	2	1	3	378	0.00152857
9.20656	2	1	3	395	0.00152857
9.21156	2	1	3	5263	0.00152857
9.21206	2	1	3	378	0.00152857
9.30656	2	1	3	395	0.00152857
9.31156	2	1	3	5263	0.00152857
9.31206	2	1	3	378	0.00152857
9.40656	2	1	3	395	0.00152857
9.41156	2	1	3	5263	0.00152857
9.41206	2	1	3	378	0.00152857
9.50656	2	1	3	395	0.00152857
9.51156	2	1	3	5263	0.00152857
9.51206	2	1	3	378	0.00152857
9.60656	2	1	3	395	0.00152857
9.61156	2	1	3	5263	0.00152857
9.61206	2	1	3	378	0.00152857
9.70656	2	1	3	395	0.00152857
9.71156	2	1	3	5263	0.00152857
9.71206	2	1	3	378	0.00152857
9.80656	2	1	3	395	0.00152857
9.81156	2	1	3	5263	0.00152857
9.81206	2	1	3	378	0.00152857
9.90656	2	1	3	395	0.00152857
9.91156	2	1	3	5263	0.00152857
9.91206	2	1	3	378	0.00152857
10.0066	2	1	3	395	0.00152857
10.0116	2	1	3	5263	0.00152857
10.0121	2	1	3	378	0.00152857
10.1066	2	1	3	395	0.00152857
10.1116	2	1	3	5263	0.00152857
10.1121	2	1	3	378	0.00152857
10.2066	2	1	3	395	0.00152857
10.2116	2	1	3	5263	0.00152857
10.2121	2	1	3	378	0.00152857
10.3066	2	1	3	395	0.00152857
10.3116	2	1	3	5263	0.00152857
10.3121	2	1	3	378	0.00152857
10.4066	2	1	3	395	0.00152857
10.4116	2	1	3	5263	0.00152857
10.4121	2	1	3	378	0.00152857
10.5066	2	1	3	395	0.00152857
10.5116	2	1	3	5263	0.00152857
10.5121	2	1	3	378	0.00152857
10.6066	2	1	3	395	0.00152857
10.6116	2	1	3	5263	0.00152857
10.6121	2	1	3	378	0.00152857
10.7066	2	1	3	395	0.00152857
10.7116	2	1	3	5263	0.00152857
10.7121	2	1	3	378	0.00152857
10.8066	2	1	3	395	0.00152857
10.8116	2	1	3	5263	0.00152857
10.8121	2	1	3	378	0.00152857
10.9066	2	1	3	395	0.00152857
10.9116	2	1	3	5263	0.00152857
10.9121	2	1	3	378	0.00152857
11.0066	2	1	3	395	0.00152857
11.0116	2	1	3	5263	0.00152857
11.0121	2	1	3	378	0.00152857
11.1066	2	1	3	395	0.00152857
11.1116	2	1	3	5263	0.00152857
11.1121	2	1	3	378	0.00152857
11.2066	2	1	3	395	0.00152857
11.2116	2	1	3	5263	0.00152857
11.2121	2	1	3	378	0.00152857
11.3066	2	1	3	395	0.00152857
11.3116	2	1	3	5263	0.00152857
11.3121	2	1	3	378	0.00152857
11.4066	2	1	3	395	0.00152857
11.4116	2	1	3	5263	0.00152857
11.4121	2	1	3	378	0.00152857
11.5066	2	1	3	395	0.00152857
11.5116	2	1	3	5263	0.00152857
11.5121	2	1	3	378	0.00152857
