time(s)	cellId	rnti	lcid	packetSize
0.105036	2	1	3	41
0.110036	2	1	3	5263
0.110536	2	1	3	732
0.205036	2	1	3	395
0.210036	2	1	3	5263
0.210536	2	1	3	378
0.305036	2	1	3	395
0.310036	2	1	3	5263
0.310536	2	1	3	378
0.405036	2	1	3	395
0.410036	2	1	3	5263
0.410536	2	1	3	378
0.505036	2	1	3	395
0.510036	2	1	3	5263
0.510536	2	1	3	378
0.605036	2	1	3	395
0.610036	2	1	3	5263
0.610536	2	1	3	378
0.705036	2	1	3	395
0.710036	2	1	3	5263
0.710536	2	1	3	378
0.805036	2	1	3	395
0.810036	2	1	3	5263
0.810536	2	1	3	378
0.905036	2	1	3	395
0.910036	2	1	3	5263
0.910536	2	1	3	378
1.00504	2	1	3	395
1.01004	2	1	3	5263
1.01054	2	1	3	378
1.10504	2	1	3	395
1.11004	2	1	3	5263
1.11054	2	1	3	378
1.20504	2	1	3	395
1.21004	2	1	3	5263
1.21054	2	1	3	378
1.30504	2	1	3	395
1.31004	2	1	3	5263
1.31054	2	1	3	378
1.40504	2	1	3	395
1.41004	2	1	3	5263
1.41054	2	1	3	378
1.50504	2	1	3	395
1.51004	2	1	3	5263
1.51054	2	1	3	378
1.60504	2	1	3	395
1.61004	2	1	3	5263
1.61054	2	1	3	378
1.70504	2	1	3	395
1.71004	2	1	3	5263
1.71054	2	1	3	378
1.80504	2	1	3	395
1.81004	2	1	3	5263
1.81054	2	1	3	378
1.90504	2	1	3	395
1.91004	2	1	3	5263
1.91054	2	1	3	378
2.00504	2	1	3	395
2.01004	2	1	3	5263
2.01054	2	1	3	378
2.10504	2	1	3	395
2.11004	2	1	3	5263
2.11054	2	1	3	378
2.20504	2	1	3	395
2.21004	2	1	3	5263
2.21054	2	1	3	378
2.30504	2	1	3	395
2.31004	2	1	3	5263
2.31054	2	1	3	378
2.40504	2	1	3	395
2.41004	2	1	3	5263
2.41054	2	1	3	378
2.50504	2	1	3	395
2.51004	2	1	3	5263
2.51054	2	1	3	378
2.60504	2	1	3	395
2.61004	2	1	3	5263
2.61054	2	1	3	378
2.70504	2	1	3	395
2.71004	2	1	3	5263
2.71054	2	1	3	378
2.80504	2	1	3	395
2.81004	2	1	3	5263
2.81054	2	1	3	378
2.90504	2	1	3	395
2.91004	2	1	3	5263
2.91054	2	1	3	378
3.00504	2	1	3	395
3.01004	2	1	3	5263
3.01054	2	1	3	378
3.10504	2	1	3	395
3.11004	2	1	3	5263
3.11054	2	1	3	378
3.20504	2	1	3	395
3.21004	2	1	3	5263
3.21054	2	1	3	378
3.30504	2	1	3	395
3.31004	2	1	3	5263
3.31054	2	1	3	378
3.40504	2	1	3	395
3.41004	2	1	3	5263
3.41054	2	1	3	378
3.50504	2	1	3	395
3.51004	2	1	3	5263
3.51054	2	1	3	378
3.60504	2	1	3	395
3.61004	2	1	3	5263
3.61054	2	1	3	378
3.70504	2	1	3	395
3.71004	2	1	3	5263
3.71054	2	1	3	378
3.80504	2	1	3	395
3.81004	2	1	3	5263
3.81054	2	1	3	378
3.90504	2	1	3	395
3.91004	2	1	3	5263
3.91054	2	1	3	378
4.00504	2	1	3	395
4.01004	2	1	3	5263
4.01054	2	1	3	378
4.10504	2	1	3	395
4.11004	2	1	3	5263
4.11054	2	1	3	378
4.20504	2	1	3	395
4.21004	2	1	3	5263
4.21054	2	1	3	378
4.30504	2	1	3	395
4.31004	2	1	3	5263
4.31054	2	1	3	378
4.40504	2	1	3	395
4.41004	2	1	3	5263
4.41054	2	1	3	378
4.50504	2	1	3	395
4.51004	2	1	3	5263
4.51054	2	1	3	378
4.60504	2	1	3	395
4.61004	2	1	3	5263
4.61054	2	1	3	378
4.70504	2	1	3	395
4.71004	2	1	3	5263
4.71054	2	1	3	378
4.80504	2	1	3	395
4.81004	2	1	3	5263
4.81054	2	1	3	378
4.90504	2	1	3	395
4.91004	2	1	3	5263
4.91054	2	1	3	378
5.00504	2	1	3	395
5.01004	2	1	3	5263
5.01054	2	1	3	378
5.10504	2	1	3	395
5.11004	2	1	3	5263
5.11054	2	1	3	378
5.20504	2	1	3	395
5.21004	2	1	3	5263
5.21054	2	1	3	378
5.30504	2	1	3	395
5.31004	2	1	3	5263
5.31054	2	1	3	378
5.40504	2	1	3	395
5.41004	2	1	3	5263
5.41054	2	1	3	378
5.50504	2	1	3	395
5.51004	2	1	3	5263
5.51054	2	1	3	378
5.60504	2	1	3	395
5.61004	2	1	3	5263
5.61054	2	1	3	378
5.70504	2	1	3	395
5.71004	2	1	3	5263
5.71054	2	1	3	378
5.80504	2	1	3	395
5.81004	2	1	3	5263
5.81054	2	1	3	378
5.90504	2	1	3	395
5.91004	2	1	3	5263
5.91054	2	1	3	378
6.00504	2	1	3	395
6.01004	2	1	3	5263
6.01054	2	1	3	378
6.10504	2	1	3	395
6.11004	2	1	3	5263
6.11054	2	1	3	378
6.20504	2	1	3	395
6.21004	2	1	3	5263
6.21054	2	1	3	378
6.30504	2	1	3	395
6.31004	2	1	3	5263
6.31054	2	1	3	378
6.40504	2	1	3	395
6.41004	2	1	3	5263
6.41054	2	1	3	378
6.50504	2	1	3	395
6.51004	2	1	3	5263
6.51054	2	1	3	378
6.60504	2	1	3	395
6.61004	2	1	3	5263
6.61054	2	1	3	378
6.70504	2	1	3	395
6.71004	2	1	3	5263
6.71054	2	1	3	378
6.80504	2	1	3	395
6.81004	2	1	3	5263
6.81054	2	1	3	378
6.90504	2	1	3	395
6.91004	2	1	3	5263
6.91054	2	1	3	378
7.00504	2	1	3	395
7.01004	2	1	3	5263
7.01054	2	1	3	378
7.10504	2	1	3	395
7.11004	2	1	3	5263
7.11054	2	1	3	378
7.20504	2	1	3	395
7.21004	2	1	3	5263
7.21054	2	1	3	378
7.30504	2	1	3	395
7.31004	2	1	3	5263
7.31054	2	1	3	378
7.40504	2	1	3	395
7.41004	2	1	3	5263
7.41054	2	1	3	378
7.50504	2	1	3	395
7.51004	2	1	3	5263
7.51054	2	1	3	378
7.60504	2	1	3	395
7.61004	2	1	3	5263
7.61054	2	1	3	378
7.70504	2	1	3	395
7.71004	2	1	3	5263
7.71054	2	1	3	378
7.80504	2	1	3	395
7.81004	2	1	3	5263
7.81054	2	1	3	378
7.90504	2	1	3	395
7.91004	2	1	3	5263
7.91054	2	1	3	378
8.00504	2	1	3	395
