Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	corrupt	TBler
0.106464	UL	10	6	0	10	3	1	01	49	0	1	0	44.8656	0	0	
0.106464	UL	10	6	0	10	3	1	01	49	0	1	0	44.8656	0	0	
0.111464	UL	11	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
0.111464	UL	11	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
0.111964	UL	11	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
0.111964	UL	11	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
0.206464	UL	20	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
0.206464	UL	20	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
0.211464	UL	21	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
0.211464	UL	21	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
0.211964	UL	21	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
0.211964	UL	21	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
0.306464	UL	30	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
0.306464	UL	30	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
0.311464	UL	31	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
0.311464	UL	31	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
0.311964	UL	31	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
0.311964	UL	31	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
0.406464	UL	40	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
0.406464	UL	40	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
0.411464	UL	41	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
0.411464	UL	41	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
0.411964	UL	41	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
0.411964	UL	41	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
0.506464	UL	50	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
0.506464	UL	50	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
0.511464	UL	51	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
0.511464	UL	51	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
0.511964	UL	51	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
0.511964	UL	51	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
0.606464	UL	60	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
0.606464	UL	60	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
