Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0160625	ENB PHY Rxed	1	6	1	2	0	0	RACH_PREAMBLE
0.0170603	ENB PHY Rxed	1	7	1	2	0	0	SRS
0.0195603	ENB PHY Rxed	1	9	17	2	0	0	SRS
0.0220603	ENB PHY Rxed	2	2	1	2	0	0	SRS
0.0245603	ENB PHY Rxed	2	4	17	2	0	0	SRS
0.0270603	ENB PHY Rxed	2	7	1	2	0	0	SRS
0.0295603	ENB PHY Rxed	2	9	17	2	0	0	SRS
0.0320603	ENB PHY Rxed	3	2	1	2	0	0	SRS
0.0345603	ENB PHY Rxed	3	4	17	2	0	0	SRS
0.0370603	ENB PHY Rxed	3	7	1	2	0	0	SRS
0.0395603	ENB PHY Rxed	3	9	17	2	0	0	SRS
0.0420603	ENB PHY Rxed	4	2	1	2	0	0	SRS
0.0445603	ENB PHY Rxed	4	4	17	2	0	0	SRS
0.0470603	ENB PHY Rxed	4	7	1	2	0	0	SRS
0.0495603	ENB PHY Rxed	4	9	17	2	0	0	SRS
0.0520603	ENB PHY Rxed	5	2	1	2	0	0	SRS
0.0545603	ENB PHY Rxed	5	4	17	2	0	0	SRS
0.0570603	ENB PHY Rxed	5	7	1	2	0	0	SRS
0.0595603	ENB PHY Rxed	5	9	17	2	0	0	SRS
0.0620603	ENB PHY Rxed	6	2	1	2	0	0	SRS
0.0645603	ENB PHY Rxed	6	4	17	2	0	0	SRS
0.0670603	ENB PHY Rxed	6	7	1	2	0	0	SRS
0.0695603	ENB PHY Rxed	6	9	17	2	0	0	SRS
0.0720603	ENB PHY Rxed	7	2	1	2	0	0	SRS
0.0745603	ENB PHY Rxed	7	4	17	2	0	0	SRS
0.0770603	ENB PHY Rxed	7	7	1	2	0	0	SRS
0.0795603	ENB PHY Rxed	7	9	17	2	0	0	SRS
0.0820603	ENB PHY Rxed	8	2	1	2	0	0	SRS
0.0845603	ENB PHY Rxed	8	4	17	2	0	0	SRS
0.0870603	ENB PHY Rxed	8	7	1	2	0	0	SRS
0.0895603	ENB PHY Rxed	8	9	17	2	0	0	SRS
0.0920603	ENB PHY Rxed	9	2	1	2	0	0	SRS
0.0945603	ENB PHY Rxed	9	4	17	2	0	0	SRS
0.0970603	ENB PHY Rxed	9	7	1	2	0	0	SRS
0.0995603	ENB PHY Rxed	9	9	17	2	0	0	SRS
0.10206	ENB PHY Rxed	10	2	1	2	0	0	SRS
0.10456	ENB PHY Rxed	10	4	17	2	0	0	SRS
0.10706	ENB PHY Rxed	10	7	1	2	0	0	SRS
0.10956	ENB PHY Rxed	10	9	17	2	0	0	SRS
0.11206	ENB PHY Rxed	11	2	1	2	0	0	SRS
0.11456	ENB PHY Rxed	11	4	17	2	0	0	SRS
0.11706	ENB PHY Rxed	11	7	1	2	0	0	SRS
0.11956	ENB PHY Rxed	11	9	17	2	0	0	SRS
0.12206	ENB PHY Rxed	12	2	1	2	0	0	SRS
0.12456	ENB PHY Rxed	12	4	17	2	0	0	SRS
0.12706	ENB PHY Rxed	12	7	1	2	0	0	SRS
0.12956	ENB PHY Rxed	12	9	17	2	0	0	SRS
0.13206	ENB PHY Rxed	13	2	1	2	0	0	SRS
0.13456	ENB PHY Rxed	13	4	17	2	0	0	SRS
