Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
2.231e-06	UE  PHY Rxed	0	0	0	2	0	0	MIB
0.00500223	UE  PHY Rxed	0	5	0	2	0	0	SIB1
0.0100022	UE  PHY Rxed	1	0	0	2	0	0	MIB
0.0150022	UE  PHY Rxed	1	5	0	2	0	0	SIB1
0.0161585	UE  PHY Rxed	1	6	5	2	0	0	RAR
0.016971	UE  PHY Rxed	1	6	31	2	1	0	UL_DCI
0.019471	UE  PHY Rxed	1	9	15	2	1	0	UL_DCI
0.0200022	UE  PHY Rxed	2	0	0	2	1	0	MIB
0.021971	UE  PHY Rxed	2	1	31	2	1	0	UL_DCI
0.024471	UE  PHY Rxed	2	4	15	2	1	0	UL_DCI
0.0250022	UE  PHY Rxed	2	5	0	2	1	0	SIB1
0.026971	UE  PHY Rxed	2	6	31	2	1	0	UL_DCI
0.029471	UE  PHY Rxed	2	9	15	2	1	0	UL_DCI
0.0300022	UE  PHY Rxed	3	0	0	2	1	0	MIB
0.031971	UE  PHY Rxed	3	1	31	2	1	0	UL_DCI
0.034471	UE  PHY Rxed	3	4	15	2	1	0	UL_DCI
0.0350022	UE  PHY Rxed	3	5	0	2	1	0	SIB1
0.036971	UE  PHY Rxed	3	6	31	2	1	0	UL_DCI
0.039471	UE  PHY Rxed	3	9	15	2	1	0	UL_DCI
0.0400022	UE  PHY Rxed	4	0	0	2	1	0	MIB
0.041971	UE  PHY Rxed	4	1	31	2	1	0	UL_DCI
0.044471	UE  PHY Rxed	4	4	15	2	1	0	UL_DCI
0.0450022	UE  PHY Rxed	4	5	0	2	1	0	SIB1
0.046971	UE  PHY Rxed	4	6	31	2	1	0	UL_DCI
0.049471	UE  PHY Rxed	4	9	15	2	1	0	UL_DCI
0.0500022	UE  PHY Rxed	5	0	0	2	1	0	MIB
0.051971	UE  PHY Rxed	5	1	31	2	1	0	UL_DCI
0.054471	UE  PHY Rxed	5	4	15	2	1	0	UL_DCI
0.0550022	UE  PHY Rxed	5	5	0	2	1	0	SIB1
0.056971	UE  PHY Rxed	5	6	31	2	1	0	UL_DCI
0.059471	UE  PHY Rxed	5	9	15	2	1	0	UL_DCI
0.0600022	UE  PHY Rxed	6	0	0	2	1	0	MIB
0.061971	UE  PHY Rxed	6	1	31	2	1	0	UL_DCI
0.064471	UE  PHY Rxed	6	4	15	2	1	0	UL_DCI
0.0650022	UE  PHY Rxed	6	5	0	2	1	0	SIB1
0.066971	UE  PHY Rxed	6	6	31	2	1	0	UL_DCI
0.069471	UE  PHY Rxed	6	9	15	2	1	0	UL_DCI
0.0700022	UE  PHY Rxed	7	0	0	2	1	0	MIB
0.071971	UE  PHY Rxed	7	1	31	2	1	0	UL_DCI
0.074471	UE  PHY Rxed	7	4	15	2	1	0	UL_DCI
0.0750022	UE  PHY Rxed	7	5	0	2	1	0	SIB1
0.076971	UE  PHY Rxed	7	6	31	2	1	0	UL_DCI
0.079471	UE  PHY Rxed	7	9	15	2	1	0	UL_DCI
0.0800022	UE  PHY Rxed	8	0	0	2	1	0	MIB
0.081971	UE  PHY Rxed	8	1	31	2	1	0	UL_DCI
0.084471	UE  PHY Rxed	8	4	15	2	1	0	UL_DCI
0.0850022	UE  PHY Rxed	8	5	0	2	1	0	SIB1
0.086971	UE  PHY Rxed	8	6	31	2	1	0	UL_DCI
0.089471	UE  PHY Rxed	8	9	15	2	1	0	UL_DCI
0.0900022	UE  PHY Rxed	9	0	0	2	1	0	MIB
0.091971	UE  PHY Rxed	9	1	31	2	1	0	UL_DCI
0.094471	UE  PHY Rxed	9	4	15	2	1	0	UL_DCI
0.0950022	UE  PHY Rxed	9	5	0	2	1	0	SIB1
0.096971	UE  PHY Rxed	9	6	31	2	1	0	UL_DCI
0.099471	UE  PHY Rxed	9	9	15	2	1	0	UL_DCI
0.100002	UE  PHY Rxed	10	0	0	2	1	0	MIB
0.101971	UE  PHY Rxed	10	1	31	2	1	0	UL_DCI
0.104471	UE  PHY Rxed	10	4	15	2	1	0	UL_DCI
0.105002	UE  PHY Rxed	10	5	0	2	1	0	SIB1
0.106971	UE  PHY Rxed	10	6	31	2	1	0	UL_DCI
0.109471	UE  PHY Rxed	10	9	15	2	1	0	UL_DCI
0.110002	UE  PHY Rxed	11	0	0	2	1	0	MIB
0.111971	UE  PHY Rxed	11	1	31	2	1	0	UL_DCI
0.114471	UE  PHY Rxed	11	4	15	2	1	0	UL_DCI
0.115002	UE  PHY Rxed	11	5	0	2	1	0	SIB1
0.116971	UE  PHY Rxed	11	6	31	2	1	0	UL_DCI
0.119471	UE  PHY Rxed	11	9	15	2	1	0	UL_DCI
0.120002	UE  PHY Rxed	12	0	0	2	1	0	MIB
0.121971	UE  PHY Rxed	12	1	31	2	1	0	UL_DCI
0.124471	UE  PHY Rxed	12	4	15	2	1	0	UL_DCI
0.125002	UE  PHY Rxed	12	5	0	2	1	0	SIB1
0.126971	UE  PHY Rxed	12	6	31	2	1	0	UL_DCI
0.129471	UE  PHY Rxed	12	9	15	2	1	0	UL_DCI
0.130002	UE  PHY Rxed	13	0	0	2	1	0	MIB
0.131971	UE  PHY Rxed	13	1	31	2	1	0	UL_DCI
0.134471	UE  PHY Rxed	13	4	15	2	1	0	UL_DCI
0.135002	UE  PHY Rxed	13	5	0	2	1	0	SIB1
0.136971	UE  PHY Rxed	13	6	31	2	1	0	UL_DCI
0.139471	UE  PHY Rxed	13	9	15	2	1	0	UL_DCI
0.140002	UE  PHY Rxed	14	0	0	2	1	0	MIB
0.141971	UE  PHY Rxed	14	1	31	2	1	0	UL_DCI
0.144471	UE  PHY Rxed	14	4	15	2	1	0	UL_DCI
0.145002	UE  PHY Rxed	14	5	0	2	1	0	SIB1
0.146971	UE  PHY Rxed	14	6	31	2	1	0	UL_DCI
0.149471	UE  PHY Rxed	14	9	15	2	1	0	UL_DCI
0.150002	UE  PHY Rxed	15	0	0	2	1	0	MIB
0.151971	UE  PHY Rxed	15	1	31	2	1	0	UL_DCI
0.154471	UE  PHY Rxed	15	4	15	2	1	0	UL_DCI
0.155002	UE  PHY Rxed	15	5	0	2	1	0	SIB1
0.156971	UE  PHY Rxed	15	6	31	2	1	0	UL_DCI
0.159471	UE  PHY Rxed	15	9	15	2	1	0	UL_DCI
0.160002	UE  PHY Rxed	16	0	0	2	1	0	MIB
0.161971	UE  PHY Rxed	16	1	31	2	1	0	UL_DCI
0.164471	UE  PHY Rxed	16	4	15	2	1	0	UL_DCI
0.165002	UE  PHY Rxed	16	5	0	2	1	0	SIB1
0.166971	UE  PHY Rxed	16	6	31	2	1	0	UL_DCI
