Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0	ENB PHY Txed	0	0	0	2	0	0	MIB
0.005	ENB PHY Txed	0	5	0	2	0	0	SIB1
0.01	ENB PHY Txed	1	0	0	2	0	0	MIB
0.015	ENB PHY Txed	1	5	0	2	0	0	SIB1
0.016125	ENB PHY Txed	1	6	4	2	0	0	RAR
0.0169688	ENB PHY Txed	1	6	31	2	0	0	UL_UCI
0.0194687	ENB PHY Txed	1	9	15	2	0	0	UL_UCI
0.02	ENB PHY Txed	2	0	0	2	0	0	MIB
0.0219687	ENB PHY Txed	2	1	31	2	0	0	UL_UCI
0.0244688	ENB PHY Txed	2	4	15	2	0	0	UL_UCI
0.025	ENB PHY Txed	2	5	0	2	0	0	SIB1
0.0269687	ENB PHY Txed	2	6	31	2	0	0	UL_UCI
0.0294687	ENB PHY Txed	2	9	15	2	0	0	UL_UCI
0.03	ENB PHY Txed	3	0	0	2	0	0	MIB
0.0319687	ENB PHY Txed	3	1	31	2	0	0	UL_UCI
0.0344687	ENB PHY Txed	3	4	15	2	0	0	UL_UCI
0.035	ENB PHY Txed	3	5	0	2	0	0	SIB1
0.0369688	ENB PHY Txed	3	6	31	2	0	0	UL_UCI
0.0394687	ENB PHY Txed	3	9	15	2	0	0	UL_UCI
0.04	ENB PHY Txed	4	0	0	2	0	0	MIB
0.0419687	ENB PHY Txed	4	1	31	2	0	0	UL_UCI
0.0444688	ENB PHY Txed	4	4	15	2	0	0	UL_UCI
0.045	ENB PHY Txed	4	5	0	2	0	0	SIB1
0.0469687	ENB PHY Txed	4	6	31	2	0	0	UL_UCI
0.0494687	ENB PHY Txed	4	9	15	2	0	0	UL_UCI
0.05	ENB PHY Txed	5	0	0	2	0	0	MIB
0.0519688	ENB PHY Txed	5	1	31	2	0	0	UL_UCI
0.0544688	ENB PHY Txed	5	4	15	2	0	0	UL_UCI
0.055	ENB PHY Txed	5	5	0	2	0	0	SIB1
0.0569687	ENB PHY Txed	5	6	31	2	0	0	UL_UCI
0.0594688	ENB PHY Txed	5	9	15	2	0	0	UL_UCI
0.06	ENB PHY Txed	6	0	0	2	0	0	MIB
0.0619688	ENB PHY Txed	6	1	31	2	0	0	UL_UCI
0.0644688	ENB PHY Txed	6	4	15	2	0	0	UL_UCI
0.065	ENB PHY Txed	6	5	0	2	0	0	SIB1
0.0669687	ENB PHY Txed	6	6	31	2	0	0	UL_UCI
0.0694687	ENB PHY Txed	6	9	15	2	0	0	UL_UCI
0.07	ENB PHY Txed	7	0	0	2	0	0	MIB
0.0719687	ENB PHY Txed	7	1	31	2	0	0	UL_UCI
0.0744688	ENB PHY Txed	7	4	15	2	0	0	UL_UCI
0.075	ENB PHY Txed	7	5	0	2	0	0	SIB1
0.0769688	ENB PHY Txed	7	6	31	2	0	0	UL_UCI
0.0794688	ENB PHY Txed	7	9	15	2	0	0	UL_UCI
0.08	ENB PHY Txed	8	0	0	2	0	0	MIB
0.0819688	ENB PHY Txed	8	1	31	2	0	0	UL_UCI
0.0844687	ENB PHY Txed	8	4	15	2	0	0	UL_UCI
0.085	ENB PHY Txed	8	5	0	2	0	0	SIB1
0.0869687	ENB PHY Txed	8	6	31	2	0	0	UL_UCI
0.0894687	ENB PHY Txed	8	9	15	2	0	0	UL_UCI
0.09	ENB PHY Txed	9	0	0	2	0	0	MIB
0.0919688	ENB PHY Txed	9	1	31	2	0	0	UL_UCI
0.0944688	ENB PHY Txed	9	4	15	2	0	0	UL_UCI
0.095	ENB PHY Txed	9	5	0	2	0	0	SIB1
0.0969688	ENB PHY Txed	9	6	31	2	0	0	UL_UCI
0.0994687	ENB PHY Txed	9	9	15	2	0	0	UL_UCI
0.1	ENB PHY Txed	10	0	0	2	0	0	MIB
0.101969	ENB PHY Txed	10	1	31	2	0	0	UL_UCI
0.104469	ENB PHY Txed	10	4	15	2	0	0	UL_UCI
0.105	ENB PHY Txed	10	5	0	2	0	0	SIB1
0.106969	ENB PHY Txed	10	6	31	2	0	0	UL_UCI
0.109469	ENB PHY Txed	10	9	15	2	0	0	UL_UCI
