Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0160603	UE  PHY Txed	1	6	1	2	0	0	RACH_PREAMBLE
0.017058	UE  PHY Txed	1	7	1	2	1	0	SRS
0.019558	UE  PHY Txed	1	9	17	2	1	0	SRS
0.022058	UE  PHY Txed	2	2	1	2	1	0	SRS
0.024558	UE  PHY Txed	2	4	17	2	1	0	SRS
0.027058	UE  PHY Txed	2	7	1	2	1	0	SRS
0.029558	UE  PHY Txed	2	9	17	2	1	0	SRS
0.032058	UE  PHY Txed	3	2	1	2	1	0	SRS
0.034558	UE  PHY Txed	3	4	17	2	1	0	SRS
0.037058	UE  PHY Txed	3	7	1	2	1	0	SRS
0.039558	UE  PHY Txed	3	9	17	2	1	0	SRS
0.042058	UE  PHY Txed	4	2	1	2	1	0	SRS
0.044558	UE  PHY Txed	4	4	17	2	1	0	SRS
0.047058	UE  PHY Txed	4	7	1	2	1	0	SRS
0.049558	UE  PHY Txed	4	9	17	2	1	0	SRS
0.052058	UE  PHY Txed	5	2	1	2	1	0	SRS
0.054558	UE  PHY Txed	5	4	17	2	1	0	SRS
0.057058	UE  PHY Txed	5	7	1	2	1	0	SRS
0.059558	UE  PHY Txed	5	9	17	2	1	0	SRS
0.062058	UE  PHY Txed	6	2	1	2	1	0	SRS
0.064558	UE  PHY Txed	6	4	17	2	1	0	SRS
0.067058	UE  PHY Txed	6	7	1	2	1	0	SRS
0.069558	UE  PHY Txed	6	9	17	2	1	0	SRS
0.072058	UE  PHY Txed	7	2	1	2	1	0	SRS
0.074558	UE  PHY Txed	7	4	17	2	1	0	SRS
0.077058	UE  PHY Txed	7	7	1	2	1	0	SRS
0.079558	UE  PHY Txed	7	9	17	2	1	0	SRS
0.082058	UE  PHY Txed	8	2	1	2	1	0	SRS
0.084558	UE  PHY Txed	8	4	17	2	1	0	SRS
0.087058	UE  PHY Txed	8	7	1	2	1	0	SRS
0.089558	UE  PHY Txed	8	9	17	2	1	0	SRS
0.092058	UE  PHY Txed	9	2	1	2	1	0	SRS
0.094558	UE  PHY Txed	9	4	17	2	1	0	SRS
0.097058	UE  PHY Txed	9	7	1	2	1	0	SRS
0.099558	UE  PHY Txed	9	9	17	2	1	0	SRS
0.102058	UE  PHY Txed	10	2	1	2	1	0	SRS
0.104558	UE  PHY Txed	10	4	17	2	1	0	SRS
0.107058	UE  PHY Txed	10	7	1	2	1	0	SRS
0.109558	UE  PHY Txed	10	9	17	2	1	0	SRS
0.112058	UE  PHY Txed	11	2	1	2	1	0	SRS
0.114558	UE  PHY Txed	11	4	17	2	1	0	SRS
0.117058	UE  PHY Txed	11	7	1	2	1	0	SRS
0.119558	UE  PHY Txed	11	9	17	2	1	0	SRS
0.122058	UE  PHY Txed	12	2	1	2	1	0	SRS
0.124558	UE  PHY Txed	12	4	17	2	1	0	SRS
0.127058	UE  PHY Txed	12	7	1	2	1	0	SRS
0.129558	UE  PHY Txed	12	9	17	2	1	0	SRS
0.132058	UE  PHY Txed	13	2	1	2	1	0	SRS
0.134558	UE  PHY Txed	13	4	17	2	1	0	SRS
0.137058	UE  PHY Txed	13	7	1	2	1	0	SRS
0.139558	UE  PHY Txed	13	9	17	2	1	0	SRS
0.142058	UE  PHY Txed	14	2	1	2	1	0	SRS
0.144558	UE  PHY Txed	14	4	17	2	1	0	SRS
0.147058	UE  PHY Txed	14	7	1	2	1	0	SRS
0.149558	UE  PHY Txed	14	9	17	2	1	0	SRS
0.152058	UE  PHY Txed	15	2	1	2	1	0	SRS
0.154558	UE  PHY Txed	15	4	17	2	1	0	SRS
0.157058	UE  PHY Txed	15	7	1	2	1	0	SRS
0.159558	UE  PHY Txed	15	9	17	2	1	0	SRS
0.162058	UE  PHY Txed	16	2	1	2	1	0	SRS
0.164558	UE  PHY Txed	16	4	17	2	1	0	SRS
0.167058	UE  PHY Txed	16	7	1	2	1	0	SRS
0.169558	UE  PHY Txed	16	9	17	2	1	0	SRS
0.172058	UE  PHY Txed	17	2	1	2	1	0	SRS
0.174558	UE  PHY Txed	17	4	17	2	1	0	SRS
0.177058	UE  PHY Txed	17	7	1	2	1	0	SRS
0.179558	UE  PHY Txed	17	9	17	2	1	0	SRS
0.182058	UE  PHY Txed	18	2	1	2	1	0	SRS
0.184558	UE  PHY Txed	18	4	17	2	1	0	SRS
0.187058	UE  PHY Txed	18	7	1	2	1	0	SRS
0.189558	UE  PHY Txed	18	9	17	2	1	0	SRS
0.192058	UE  PHY Txed	19	2	1	2	1	0	SRS
0.194558	UE  PHY Txed	19	4	17	2	1	0	SRS
0.197058	UE  PHY Txed	19	7	1	2	1	0	SRS
0.199558	UE  PHY Txed	19	9	17	2	1	0	SRS
0.202058	UE  PHY Txed	20	2	1	2	1	0	SRS
0.204558	UE  PHY Txed	20	4	17	2	1	0	SRS
0.207058	UE  PHY Txed	20	7	1	2	1	0	SRS
0.209558	UE  PHY Txed	20	9	17	2	1	0	SRS
0.212058	UE  PHY Txed	21	2	1	2	1	0	SRS
0.214558	UE  PHY Txed	21	4	17	2	1	0	SRS
0.217058	UE  PHY Txed	21	7	1	2	1	0	SRS
0.219558	UE  PHY Txed	21	9	17	2	1	0	SRS
0.222058	UE  PHY Txed	22	2	1	2	1	0	SRS
0.224558	UE  PHY Txed	22	4	17	2	1	0	SRS
0.227058	UE  PHY Txed	22	7	1	2	1	0	SRS
0.229558	UE  PHY Txed	22	9	17	2	1	0	SRS
0.232058	UE  PHY Txed	23	2	1	2	1	0	SRS
0.234558	UE  PHY Txed	23	4	17	2	1	0	SRS
0.237058	UE  PHY Txed	23	7	1	2	1	0	SRS
0.239558	UE  PHY Txed	23	9	17	2	1	0	SRS
0.242058	UE  PHY Txed	24	2	1	2	1	0	SRS
0.244558	UE  PHY Txed	24	4	17	2	1	0	SRS
0.247058	UE  PHY Txed	24	7	1	2	1	0	SRS
0.249558	UE  PHY Txed	24	9	17	2	1	0	SRS
0.252058	UE  PHY Txed	25	2	1	2	1	0	SRS
0.254558	UE  PHY Txed	25	4	17	2	1	0	SRS
0.257058	UE  PHY Txed	25	7	1	2	1	0	SRS
0.259558	UE  PHY Txed	25	9	17	2	1	0	SRS
0.262058	UE  PHY Txed	26	2	1	2	1	0	SRS
0.264558	UE  PHY Txed	26	4	17	2	1	0	SRS
0.267058	UE  PHY Txed	26	7	1	2	1	0	SRS
0.269558	UE  PHY Txed	26	9	17	2	1	0	SRS
0.272058	UE  PHY Txed	27	2	1	2	1	0	SRS
0.274558	UE  PHY Txed	27	4	17	2	1	0	SRS
0.277058	UE  PHY Txed	27	7	1	2	1	0	SRS
0.279558	UE  PHY Txed	27	9	17	2	1	0	SRS
0.282058	UE  PHY Txed	28	2	1	2	1	0	SRS
0.284558	UE  PHY Txed	28	4	17	2	1	0	SRS
0.287058	UE  PHY Txed	28	7	1	2	1	0	SRS
0.289558	UE  PHY Txed	28	9	17	2	1	0	SRS
0.292058	UE  PHY Txed	29	2	1	2	1	0	SRS
0.294558	UE  PHY Txed	29	4	17	2	1	0	SRS
0.297058	UE  PHY Txed	29	7	1	2	1	0	SRS
0.299558	UE  PHY Txed	29	9	17	2	1	0	SRS
0.302058	UE  PHY Txed	30	2	1	2	1	0	SRS
0.304558	UE  PHY Txed	30	4	17	2	1	0	SRS
0.307058	UE  PHY Txed	30	7	1	2	1	0	SRS
0.309558	UE  PHY Txed	30	9	17	2	1	0	SRS
0.312058	UE  PHY Txed	31	2	1	2	1	0	SRS
0.314558	UE  PHY Txed	31	4	17	2	1	0	SRS
0.317058	UE  PHY Txed	31	7	1	2	1	0	SRS
0.319558	UE  PHY Txed	31	9	17	2	1	0	SRS
0.322058	UE  PHY Txed	32	2	1	2	1	0	SRS
0.324558	UE  PHY Txed	32	4	17	2	1	0	SRS
0.327058	UE  PHY Txed	32	7	1	2	1	0	SRS
0.329558	UE  PHY Txed	32	9	17	2	1	0	SRS
0.332058	UE  PHY Txed	33	2	1	2	1	0	SRS
0.334558	UE  PHY Txed	33	4	17	2	1	0	SRS
0.337058	UE  PHY Txed	33	7	1	2	1	0	SRS
0.339558	UE  PHY Txed	33	9	17	2	1	0	SRS
0.342058	UE  PHY Txed	34	2	1	2	1	0	SRS
0.344558	UE  PHY Txed	34	4	17	2	1	0	SRS
0.347058	UE  PHY Txed	34	7	1	2	1	0	SRS
0.349558	UE  PHY Txed	34	9	17	2	1	0	SRS
0.352058	UE  PHY Txed	35	2	1	2	1	0	SRS
0.354558	UE  PHY Txed	35	4	17	2	1	0	SRS
0.357058	UE  PHY Txed	35	7	1	2	1	0	SRS
0.359558	UE  PHY Txed	35	9	17	2	1	0	SRS
0.362058	UE  PHY Txed	36	2	1	2	1	0	SRS
0.364558	UE  PHY Txed	36	4	17	2	1	0	SRS
0.367058	UE  PHY Txed	36	7	1	2	1	0	SRS
0.369558	UE  PHY Txed	36	9	17	2	1	0	SRS
0.372058	UE  PHY Txed	37	2	1	2	1	0	SRS
0.374558	UE  PHY Txed	37	4	17	2	1	0	SRS
0.377058	UE  PHY Txed	37	7	1	2	1	0	SRS
0.379558	UE  PHY Txed	37	9	17	2	1	0	SRS
0.382058	UE  PHY Txed	38	2	1	2	1	0	SRS
0.384558	UE  PHY Txed	38	4	17	2	1	0	SRS
0.387058	UE  PHY Txed	38	7	1	2	1	0	SRS
0.389558	UE  PHY Txed	38	9	17	2	1	0	SRS
0.392058	UE  PHY Txed	39	2	1	2	1	0	SRS
0.394558	UE  PHY Txed	39	4	17	2	1	0	SRS
0.397058	UE  PHY Txed	39	7	1	2	1	0	SRS
0.399558	UE  PHY Txed	39	9	17	2	1	0	SRS
0.400154	UE  PHY Txed	40	0	4	2	0	0	DL_HARQ
0.400185	UE  PHY Txed	40	0	5	2	0	0	DL_CQI
0.400185	UE  PHY Txed	40	0	5	2	0	0	DL_HARQ
