vdista,vdistb,vdistc
1,1,1
0.997983017,NaN,NaN
0.999088583,0.999999999,0.999916125
1.000136202,0.999586145,0.999005058
NaN,NaN,0.998116
NaN,NaN,0.99725912
NaN,NaN,0.99725912
1.000043986,0.999636063,0.99880544
NaN,0.999636063,NaN
NaN,0.999636063,NaN
0.999934993,0.999695055,0.998569476
0.999934993,NaN,NaN
0.997983017,NaN,NaN
0.999934993,NaN,NaN
0.999934993,NaN,NaN
0.999934993,NaN,NaN
0.999934993,NaN,NaN
0.999934993,NaN,NaN
NaN,0.999999999,NaN
0.997387194,1.000213316,0.998307969
1.000711676,1.001828697,0.999160873
0.997983017,NaN,NaN
1,1,1
NaN,NaN,0.997319387
1,1,1
1,1,1
1.000807634,0.993416256,0.998413536
0.997387194,1.000213316,0.998307969
NaN,NaN,0.997319387
0.999626598,1,1
0.999626598,1,1
NaN,NaN,0.996857714
1.000711676,1.001828697,0.999160873
1.000054314,NaN,NaN
0.999823314,0.999675025,0.999999998
NaN,0.999644368,NaN
0.999199097,NaN,NaN
0.999211133,1.004883112,0.998468059
NaN,1.00693698,NaN
0.997991922,1.003735791,0.999132647
NaN,NaN,0.998408381
0.996545722,1.002489134,1.000043156
0.994731281,0.998714624,1.004562846
0.99654529,NaN,1.000043156
0.996085507,NaN,1
0.99590482,NaN,0.999983045
0.995884633,1.001391356,1.000769197
0.995120492,1,1.002151714
NaN,NaN,1.001202877
0.994761259,0.998976021,1.004447837
0.999281999,0.99998392,0.998494816
NaN,NaN,1
NaN,NaN,1
0.99590482,NaN,NaN
NaN,NaN,0.997714938
1.000040073,1.00042419,0.999298446
1,1,NaN
1,NaN,NaN
NaN,0.999671139,NaN
NaN,0.999671139,NaN
NaN,NaN,1.001202877
1.00008094,0.998212261,0.999300668
NaN,NaN,0.999300668
0.999977402,0.996032843,0.999629433
NaN,0.994709991,NaN
1.000000002,0.995039901,0.99954069
0.999473773,NaN,NaN
0.99856578,1.000231028,0.999856478
0.998683909,NaN,NaN
1.000085909,0.993686418,1.000050825
0.999890085,0.993782232,1.00003233
1.000374661,0.993578362,0.999396231
NaN,NaN,1.002979881
1.000663331,0.993470294,0.998741208
1.000807634,0.993416256,0.998413536
0.99632895,0.999704765,0.998515943
0.996513052,0.999612783,0.998958578
0.996655031,0.999717984,0.999155718
0.996234557,0.999566122,0.999296476
0.99617528,0.999208106,0.999471141
0.997474375,1.000227811,0.999379296
NaN,1.000777657,NaN
NaN,1.000777657,NaN
NaN,NaN,1.004999224
0.999626597,1,1
1,1.002994853,0.998283213
1,1.002994853,0.998283213
1,1.002994853,0.998283213
1.000288523,0.998614454,1.000597159
1.00075161,0.997643427,1.001014958
1.001533028,0.996571105,1.001691956
1.002481074,0.995267448,1.00251341
1.002481074,0.995267448,1.00251341
1.000000001,0.999547208,1.001049805
1,NaN,NaN
1,NaN,NaN
0.998380035,0.999857762,0.999639009
1,NaN,NaN
1,NaN,NaN
1.00107452,1.000312919,1.00121006
NaN,NaN,1.000125721
NaN,NaN,0.998743951
NaN,NaN,0.99768989
1.001538425,1.000976701,1.001976058
1.003200132,1.000195418,1.00341388
1.003615129,1.000000001,1.003773013
1.004225439,0.998622501,1.003670479
0.997983017,0.999999999,0.999106806
1.004355219,1.002594471,1.005393359
1.005713115,1.004909243,1.007112381
1.006427061,1.006125406,1.008015952
1.007302931,1.007268418,1.008945318
NaN,NaN,1.007112381
NaN,NaN,1.007112381
1.002300842,1.001702593,1.002645394
1.002770121,1.002186959,1.003077996
1.00315609,NaN,NaN
1.002571504,1.002509646,1.003515912
0.997983017,NaN,NaN
NaN,1.003005994,NaN
1.002528858,1.002381189,1.003901647
NaN,NaN,1.004562473
1.002528858,1.002381189,1.003901647
1.002528858,NaN,NaN
1.002528858,1.002381189,1.003901647
NaN,1.002381189,NaN
0.999823314,0.999675025,0.999999998
0.999643763,0.999754473,0.999979497
0.999284564,0.99991335,0.999938492
0.997983017,NaN,NaN
