Iteration,TX_Time,RX_Time,Delay_process,Delay,D_K,Delay_cc,T_K,Z12,Primal_Residual,LocalUpdate,GlobalUpdate
1,"[[""1.730156577708922e9""], [""1.730156577709113e9""]]","[[""1.730156584531006e9""], [""1.730156584531793e9""]]","[Float64[], Float64[]]","[[0.18], [0.18]]",0.18,0.21875691413879395,0.39875691413879394,"[1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998]","[[0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787], [0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787]]","[Int64[], Int64[]]",NA
2,"[[""1.730156584750861e9""], [""1.730156584750991e9""]]","[[""1.730156585248046e9""], [""1.730156584919987e9""]]","[Float64[], [0.07385]]","[[0.18], [0.16899585723876953]]",0.18,0.0007610321044921875,0.18076103210449218,"[0.5075000000000002, 0.5045850000000002, 1.011225, 1.008775, 0.5025000000000002, 0.5370850000000003, 0.5075000000000002, 0.5045850000000002, 0.5075000000000002, 0.5045850000000002, 1.0122750000000003, 1.0093400000000001, 0.5025000000000002, 0.5370850000000003, 0.5075000000000002, 0.5045850000000002, 0.5075000000000002, 0.5045850000000002, 1.0170150000000002, 1.012985, 0.5075000000000002, 0.5420850000000003, 0.5075000000000002, 0.5045850000000002]","[[0.4924999999999998, 0.4954149999999998, 0.01122500000000004, 0.008774999999999977, 0.49749999999999983, 0.46291499999999974, 0.4924999999999998, 0.4954149999999998, 0.4924999999999998, 0.4954149999999998, 0.012275000000000258, 0.009340000000000126, 0.49749999999999983, 0.46291499999999974, 0.4924999999999998, 0.4954149999999998, 0.4924999999999998, 0.4954149999999998, 0.017015000000000224, 0.012985000000000024, 0.4924999999999998, 0.45791499999999974, 0.4924999999999998, 0.4954149999999998], [0.49250000000000016, 0.49541500000000016, 0.01122500000000004, 0.008774999999999977, 0.49750000000000016, 0.46291500000000024, 0.49250000000000016, 0.49541500000000016, 0.49250000000000016, 0.49541500000000016, 0.012274999999999814, 0.009339999999999904, 0.49750000000000016, 0.46291500000000024, 0.49250000000000016, 0.49541500000000016, 0.49250000000000016, 0.49541500000000016, 0.01701499999999978, 0.012985000000000024, 0.49250000000000016, 0.4579150000000003, 0.49250000000000016, 0.49541500000000016]]","[Int64[], [1]]",1
3,"[[""1.730156585249004e9""], [""1.730156585249102e9""]]","[[""1.730156585371833e9""], [""1.730156585408739e9""]]","[[0.02852], [0.074]]","[[0.12282919883728027], [0.1596369743347168]]",0.1596369743347168,0.00021791458129882812,0.15985488891601562,"[0.015000000000000069, 0.009170000000000067, 1.006855, 1.002215, 0.0026300000000000767, 0.06801999999999991, 0.015000000000000069, 0.009165000000000034, 0.015000000000000069, 0.009170000000000067, 1.00721, 1.0020149999999999, 0.0024200000000000887, 0.0652899999999999, 0.015000000000000069, 0.009165000000000034, 0.015000000000000069, 0.009170000000000067, 1.012195, 1.0055900000000002, 0.01138500000000009, 0.07172499999999987, 0.015000000000000069, 0.009165000000000034]","[[6.938893903907228e-17, 6.765421556309548e-17, 0.01452500000000001, 0.014255000000000129, 0.002370000000000077, 0.0061499999999999125, 6.938893903907228e-17, 5.000000000034491e-6, 6.938893903907228e-17, 6.765421556309548e-17, 0.01572999999999991, 0.01505499999999993, 0.0025800000000000887, 0.008879999999999902, 6.938893903907228e-17, 5.000000000034491e-6, 6.938893903907228e-17, 6.765421556309548e-17, 0.02149499999999993, 0.02004000000000017, 0.0036150000000000895, 0.012444999999999873, 6.938893903907228e-17, 5.000000000034491e-6], [6.938893903907228e-17, 6.765421556309548e-17, 0.014524999999999899, 0.014254999999999907, 0.0023699999999999234, 0.006150000000000086, 6.938893903907228e-17, 4.999999999965102e-6, 6.938893903907228e-17, 6.765421556309548e-17, 0.015730000000000022, 0.01505500000000004, 0.0025799999999999114, 0.008880000000000096, 6.938893903907228e-17, 4.999999999965102e-6, 6.938893903907228e-17, 6.765421556309548e-17, 0.021495000000000042, 0.020039999999999836, 0.00361499999999991, 0.012445000000000123, 6.938893903907228e-17, 4.999999999965102e-6]]","[[1], [2]]",2
4,"[[""1.73015658540913e9""], [""1.730156585409232e9""]]","[[""1.730156585502251e9""], [""1.730156585553593e9""]]","[[0.02432], [0.06713]]","[[0.09312081336975098], [0.14436101913452148]]",0.14436101913452148,0.0002281665802001953,0.14458918571472168,"[0.014999999999999986, 0.0, 1.0409650000000001, 1.05586, -0.22633, -0.11059499999999997, 0.014999999999999986, 5.551115123125783e-17, 0.014999999999999986, 0.0, 1.0418049999999999, 1.056345, -0.22597000000000006, -0.13004999999999997, 0.014999999999999986, 5.551115123125783e-17, 0.014999999999999986, 0.0, 1.04476, 1.058155, -0.22611, -0.09528999999999996, 0.014999999999999986, 5.551115123125783e-17]","[[1.3877787807814457e-17, 0.00917, 0.026834999999999942, 0.046640000000000015, 0.23133, 0.18476500000000004, 1.3877787807814457e-17, 0.009170000000000055, 1.3877787807814457e-17, 0.00917, 0.025735000000000063, 0.046154999999999946, 0.23096999999999995, 0.20422000000000004, 1.3877787807814457e-17, 0.009170000000000055, 1.3877787807814457e-17, 0.00917, 0.022900000000000142, 0.04434500000000008, 0.24111000000000002, 0.17946000000000004, 1.3877787807814457e-17, 0.009170000000000055], [1.3877787807814457e-17, 0.00917, 0.026835000000000164, 0.046640000000000015, 0.23133, 0.18476499999999996, 1.3877787807814457e-17, 0.009169999999999944, 1.3877787807814457e-17, 0.00917, 0.02573499999999984, 0.04615500000000017, 0.23097000000000006, 0.20421999999999996, 1.3877787807814457e-17, 0.009169999999999944, 1.3877787807814457e-17, 0.00917, 0.02289999999999992, 0.04434499999999986, 0.24111, 0.17945999999999995, 1.3877787807814457e-17, 0.009169999999999944]]","[[2], [3]]",3
5,"[[""1.730156585554e9""], [""1.730156585554101e9""]]","[[""1.730156585645232e9""], [""1.730156585718926e9""]]","[[0.02367], [0.07074]]","[[0.0912320613861084], [0.1648249626159668]]",0.1648249626159668,0.00022411346435546875,0.16504907608032227,"[0.014999999999999986, 0.0, 1.04938, 1.064275, -0.22633, -0.110595, 0.014999999999999986, -5.551115123125783e-17, 0.014999999999999986, 0.0, 1.050415, 1.06496, -0.225975, -0.13005, 0.014999999999999986, -5.551115123125783e-17, 0.014999999999999986, 0.0, 1.0566250000000001, 1.07002, -0.22611000000000003, -0.09528500000000002, 0.014999999999999986, -5.551115123125783e-17]","[[1.3877787807814457e-17, 0.00917, 0.018420000000000103, 0.03822499999999995, 0.23133, 0.184765, 1.3877787807814457e-17, 0.009169999999999944, 1.3877787807814457e-17, 0.00917, 0.017124999999999835, 0.03754000000000013, 0.230975, 0.20422, 1.3877787807814457e-17, 0.009169999999999944, 1.3877787807814457e-17, 0.00917, 0.011034999999999906, 0.032480000000000064, 0.24111, 0.17945499999999998, 1.3877787807814457e-17, 0.009169999999999944], [1.3877787807814457e-17, 0.00917, 0.01841999999999988, 0.038225000000000176, 0.23133, 0.184765, 1.3877787807814457e-17, 0.009170000000000055, 1.3877787807814457e-17, 0.00917, 0.017125000000000057, 0.03753999999999991, 0.230975, 0.20422, 1.3877787807814457e-17, 0.009170000000000055, 1.3877787807814457e-17, 0.00917, 0.011035000000000128, 0.032480000000000064, 0.24111000000000005, 0.17945500000000003, 1.3877787807814457e-17, 0.009170000000000055]]","[[3], [4]]",4
6,"[[""1.730156585719321e9""], [""1.730156585719428e9""]]","[[""1.730156585806559e9""], [""1.730156585899182e9""]]","[[0.02357], [0.07309]]","[[0.08723807334899902], [0.17975401878356934]]",0.17975401878356934,0.000270843505859375,0.1800248622894287,"[0.014999999999999986, 0.0, 1.035155, 1.0448649999999997, -0.1237, -0.06646500000000002, 0.014999999999999986, 2.7755575615628914e-17, 0.014999999999999986, 0.0, 1.02704, 1.0331250000000003, -0.12070499999999998, -0.065555, 0.014999999999999986, 2.7755575615628914e-17, 0.014999999999999986, 0.0, 1.03535, 1.0435400000000001, -0.11119499999999997, -0.06317999999999999, 0.014999999999999986, 2.7755575615628914e-17]","[[1.3877787807814457e-17, 0.00917, 0.006545000000000023, 0.01847500000000024, 0.1287, 0.10396499999999997, 1.3877787807814457e-17, 0.009170000000000027, 1.3877787807814457e-17, 0.00917, 0.0008000000000001339, 0.009834999999999816, 0.125705, 0.10305500000000001, 1.3877787807814457e-17, 0.009170000000000027, 1.3877787807814457e-17, 0.00917, 0.005470000000000086, 0.01869999999999994, 0.126195, 0.11068, 1.3877787807814457e-17, 0.009170000000000027], [1.3877787807814457e-17, 0.00917, 0.006545000000000023, 0.018474999999999797, 0.1287, 0.10396500000000003, 1.3877787807814457e-17, 0.009169999999999972, 1.3877787807814457e-17, 0.00917, 0.0007999999999999119, 0.00983500000000026, 0.12570499999999998, 0.10305500000000001, 1.3877787807814457e-17, 0.009169999999999972, 1.3877787807814457e-17, 0.00917, 0.005470000000000086, 0.01870000000000016, 0.12619499999999997, 0.11067999999999999, 1.3877787807814457e-17, 0.009169999999999972]]","[[4], [5]]",5
7,"[[""1.730156585899627e9""], [""1.730156585899725e9""]]","[[""1.730156585986644e9""], [""1.730156586078722e9""]]","[[0.02328], [0.07242]]","[[0.08701705932617188], [0.17899703979492188]]",0.17899703979492188,0.0002429485321044922,0.17923998832702637,"[0.014999999999999986, 0.0, 1.015645, 1.0166850000000003, -0.0060149999999999995, 0.005255000000000008, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.00786, 1.00651, -0.008409999999999994, 0.010605, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.01637, 1.01508, 0.007780000000000002, 0.007644999999999992, 0.014999999999999986, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.008654999999999857, 0.005395000000000261, 0.011015, 0.03224500000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.009730000000000016, 0.00812999999999997, 0.013410000000000005, 0.026895, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.013479999999999936, 0.009730000000000016, 0.0072200000000000025, 0.039854999999999995, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.00865500000000008, 0.005394999999999817, 0.011015, 0.03224499999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.009730000000000016, 0.00812999999999997, 0.013409999999999995, 0.026895, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.013479999999999936, 0.009730000000000016, 0.007219999999999997, 0.03985500000000001, 1.3877787807814457e-17, 0.00917]]","[[5], [6]]",6
8,"[[""1.730156586079136e9""], [""1.730156586079243e9""]]","[[""1.73015658616969e9""], [""1.730156586248836e9""]]","[[0.02251], [0.07607]]","[[0.09055399894714355], [0.16959309577941895]]",0.16959309577941895,0.00023484230041503906,0.16982793807983398,"[0.014999999999999986, 0.0, 1.0000950000000002, 0.9960650000000001, 0.05332, 0.051269999999999996, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 0.9964050000000001, 0.9896449999999999, 0.05428, 0.06240999999999999, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.00515, 0.998625, 0.07025, 0.052360000000000004, 0.014999999999999986, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.013345000000000162, 0.015145000000000075, 0.048319999999999995, 0.013770000000000004, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.019915000000000127, 0.02371499999999993, 0.04928, 0.02491, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.023189999999999933, 0.024675000000000002, 0.055249999999999994, 0.004859999999999996, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.013344999999999718, 0.015144999999999853, 0.04832, 0.013769999999999998, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.019914999999999794, 0.023715000000000153, 0.049280000000000004, 0.024909999999999995, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.023190000000000044, 0.024675000000000114, 0.05525000000000001, 0.004860000000000003, 1.3877787807814457e-17, 0.00917]]","[[6], [7]]",7
9,"[[""1.730156586249257e9""], [""1.730156586249379e9""]]","[[""1.730156586351677e9""], [""1.73015658641965e9""]]","[[0.02174], [0.07034]]","[[0.10241985321044922], [0.1702711582183838]]",0.1702711582183838,0.00025200843811035156,0.17052316665649414,"[0.014999999999999986, 0.0, 0.9953600000000001, 0.9893949999999998, 0.058425000000000005, 0.06764500000000001, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 0.9939999999999999, 0.986645, 0.06127, 0.07327, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 0.9991550000000001, 0.991425, 0.072045, 0.06813499999999999, 0.014999999999999986, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.016370000000000107, 0.020104999999999817, 0.053425, 0.03014499999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.019899999999999918, 0.02430500000000002, 0.05627000000000001, 0.035769999999999996, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.022015000000000118, 0.024704999999999977, 0.05704500000000001, 0.020635000000000014, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.016369999999999885, 0.02010500000000026, 0.05342500000000001, 0.030145000000000012, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01990000000000014, 0.02430500000000002, 0.05627, 0.03577, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.022014999999999785, 0.024704999999999977, 0.057045, 0.020634999999999987, 1.3877787807814457e-17, 0.00917]]","[[7], [8]]",8
10,"[[""1.730156586420086e9""], [""1.730156586420209e9""]]","[[""1.730156586511463e9""], [""1.730156586671018e9""]]","[[0.02169], Float64[]]","[[0.09137701988220215], [0.18]]",0.18,0.0009741783142089844,0.18097417831420898,"[0.014999999999999986, 0.0, 0.9971699999999999, 0.9921099999999999, 0.033819999999999996, 0.05973, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 0.9981050000000001, 0.9928000000000001, 0.036205, 0.05891999999999999, 0.014999999999999986, 0.0, 0.014999999999999986, 0.0, 1.00131, 0.9946550000000001, 0.04355, 0.06303, 0.014999999999999986, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.014559999999999906, 0.017389999999999906, 0.028820000000000005, 0.022230000000000007, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.015795000000000115, 0.01815000000000011, 0.031204999999999997, 0.02142, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.019859999999999878, 0.021475000000000022, 0.02855, 0.015530000000000002, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.014560000000000128, 0.017390000000000128, 0.028819999999999995, 0.02223, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.015794999999999892, 0.01814999999999989, 0.031205, 0.021419999999999995, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01985999999999999, 0.02147499999999991, 0.02855, 0.015530000000000002, 1.3877787807814457e-17, 0.00917]]","[[8], Int64[]]",9
