Iteration,TX_Time,RX_Time,Delay_process,Delay,D_K,Delay_cc,T_K,Z12,Primal_Residual,LocalUpdate,GlobalUpdate
1,"[[""1.729366644294058e9""], [""1.729366644294312e9""]]","[[""1.729366650744676e9""], [""1.729366650745657e9""]]","[Float64[], Float64[]]","[[0.16], [0.16]]",0.16,0.2632179260253906,0.42321792602539066,"[1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998]","[[0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787], [0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787]]","[Int64[], Int64[]]",NA
2,"[[""1.729366651009215e9""], [""1.729366651009394e9""]]","[[""1.729366651683483e9""], [""1.729366651684596e9""]]","[Float64[], Float64[]]","[[0.16], [0.16]]",0.16,0.0009639263153076172,0.16096392631530762,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[Int64[], Int64[]]",NA
3,"[[""1.729366651685786e9""], [""1.729366651685911e9""]]","[[""1.729366651764413e9""], [""1.72936665249556e9""]]","[[0.02357], Float64[]]","[[0.07862710952758789], [0.16]]",0.16,0.0009300708770751953,0.1609300708770752,"[0.5075000000000002, 0.5045850000000002, 0.9676800000000002, 0.9512500000000003, 0.8917250000000002, 0.6113700000000002, 0.5075000000000002, 0.5045850000000002, 0.5075000000000002, 0.5045850000000002, 0.9675900000000003, 0.9512500000000003, 0.8193500000000002, 0.6349750000000002, 0.5075000000000002, 0.5045850000000002, 0.5075000000000002, 0.5045850000000002, 0.9676650000000002, 0.9512500000000003, 0.9083450000000003, 0.5489450000000002, 0.5075000000000002, 0.5045850000000002]","[[0.49250000000000016, 0.49541500000000016, 0.03232000000000024, 0.04875000000000029, 0.10827500000000023, 0.3886300000000002, 0.49250000000000016, 0.49541500000000016, 0.49250000000000016, 0.49541500000000016, 0.03241000000000027, 0.04875000000000029, 0.1806500000000002, 0.36502500000000015, 0.49250000000000016, 0.49541500000000016, 0.49250000000000016, 0.49541500000000016, 0.032335000000000225, 0.04875000000000029, 0.09165500000000026, 0.4510550000000002, 0.49250000000000016, 0.49541500000000016], [0.4924999999999998, 0.4954149999999998, 0.03231999999999979, 0.04874999999999974, 0.10827499999999979, 0.3886299999999998, 0.4924999999999998, 0.4954149999999998, 0.4924999999999998, 0.4954149999999998, 0.03240999999999972, 0.04874999999999974, 0.18064999999999976, 0.3650249999999998, 0.4924999999999998, 0.4954149999999998, 0.4924999999999998, 0.4954149999999998, 0.03233499999999978, 0.04874999999999974, 0.09165499999999971, 0.45105499999999976, 0.4924999999999998, 0.4954149999999998]]","[[1], Int64[]]",1
4,"[[""1.729366652496667e9""], [""1.729366652496786e9""]]","[[""1.729366652663615e9""], [""1.729366652664864e9""]]","[Float64[], Float64[]]","[[0.16], [0.16]]",0.16,0.001399993896484375,0.16139999389648438,"[0.5075000000000001, 0.5045850000000001, 0.9676799999999999, 0.9512499999999998, 0.8917249999999999, 0.61137, 0.5075000000000001, 0.5045850000000001, 0.5075000000000001, 0.5045850000000001, 0.9675899999999998, 0.9512499999999998, 0.81935, 0.6349750000000001, 0.5075000000000001, 0.5045850000000001, 0.5075000000000001, 0.5045850000000001, 0.967665, 0.9512499999999998, 0.908345, 0.548945, 0.5075000000000001, 0.5045850000000001]","[[0.49250000000000005, 0.49541500000000005, 0.032319999999999904, 0.04874999999999985, 0.1082749999999999, 0.38863, 0.49250000000000005, 0.49541500000000005, 0.49250000000000005, 0.49541500000000005, 0.03240999999999983, 0.04874999999999985, 0.18064999999999998, 0.36502500000000004, 0.49250000000000005, 0.49541500000000005, 0.49250000000000005, 0.49541500000000005, 0.032335, 0.04874999999999985, 0.09165499999999993, 0.451055, 0.49250000000000005, 0.49541500000000005], [0.49249999999999994, 0.49541499999999994, 0.032320000000000126, 0.04875000000000018, 0.10827500000000012, 0.38863000000000003, 0.49249999999999994, 0.49541499999999994, 0.49249999999999994, 0.49541499999999994, 0.03241000000000016, 0.04875000000000018, 0.18064999999999998, 0.36502499999999993, 0.49249999999999994, 0.49541499999999994, 0.49249999999999994, 0.49541499999999994, 0.032335, 0.04875000000000018, 0.09165500000000004, 0.451055, 0.49249999999999994, 0.49541499999999994]]","[Int64[], Int64[]]",NA
5,"[[""1.72936665266652e9""], [""1.729366652666708e9""]]","[[""1.729366652738509e9""], [""1.72936665277861e9""]]","[[0.02358], [0.05448]]","[[0.07198882102966309], [0.11190199851989746]]",0.11190199851989746,0.0011620521545410156,0.11306405067443848,"[0.015000000000000013, 0.0, 0.94277, 0.924555, 0.3942250000000001, 0.13928499999999996, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9428250000000001, 0.9242750000000001, 0.32185, 0.16289, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.948485, 0.9288000000000001, 0.415845, 0.08186000000000004, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.007410000000000028, 0.022055000000000047, 0.3892249999999999, 0.08345500000000003, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.007645000000000124, 0.0217750000000001, 0.31685, 0.10706000000000002, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.013155000000000028, 0.0263000000000001, 0.400845, 0.01602999999999996, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.007410000000000028, 0.022054999999999936, 0.3892250000000001, 0.08345499999999997, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.007644999999999902, 0.021774999999999878, 0.31685, 0.10706000000000002, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.013155000000000028, 0.02629999999999988, 0.400845, 0.016030000000000044, 1.3877787807814457e-17, 0.00917]]","[[2], [1]]",2
6,"[[""1.72936665277995e9""], [""1.729366652780142e9""]]","[[""1.72936665287236e9""], [""1.729366652905428e9""]]","[[0.02435], [0.0689]]","[[0.09241008758544922], [0.12528586387634277]]",0.12528586387634277,0.001129150390625,0.12641501426696777,"[0.015000000000000013, 0.0, 0.926575, 0.9083600000000001, 0.04096999999999999, 0.212705, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.92857, 0.910025, 0.08366, 0.211445, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9371649999999999, 0.9174749999999999, 0.050925, 0.2336549999999999, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.008784999999999932, 0.005860000000000087, 0.03597, 0.15687500000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.006610000000000005, 0.007525000000000004, 0.07866, 0.155615, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.00183499999999992, 0.01497499999999996, 0.035925, 0.1678250000000001, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.008785000000000043, 0.005859999999999976, 0.035969999999999995, 0.15687500000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.006610000000000005, 0.007525000000000004, 0.07866, 0.155615, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.001835000000000031, 0.014975000000000072, 0.035925, 0.1678249999999999, 1.3877787807814457e-17, 0.00917]]","[[3], [2]]",3
7,"[[""1.729366652906748e9""], [""1.72936665290687e9""]]","[[""1.729366652983206e9""], [""1.729366653035214e9""]]","[[0.02311], [0.06601]]","[[0.07645797729492188], [0.12834405899047852]]",0.12834405899047852,0.0016760826110839844,0.1300201416015625,"[0.015000000000000013, 0.0, 0.926575, 0.90836, -0.135665, 0.249415, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.92857, 0.910025, -0.03544, 0.23571999999999999, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.937165, 0.917475, -0.13154, 0.309555, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.008784999999999932, 0.005859999999999976, 0.140665, 0.193585, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.006610000000000005, 0.007525000000000004, 0.040440000000000004, 0.17989, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.001835000000000031, 0.014975000000000072, 0.14654, 0.24372499999999997, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.008785000000000043, 0.005860000000000087, 0.140665, 0.193585, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.006610000000000005, 0.007525000000000004, 0.04044, 0.17989, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.00183499999999992, 0.01497499999999996, 0.14654, 0.24372500000000002, 1.3877787807814457e-17, 0.00917]]","[[4], [3]]",4
8,"[[""1.729366653037077e9""], [""1.729366653037255e9""]]","[[""1.729366653117372e9""], [""1.729366653175323e9""]]","[[0.02273], [0.06493]]","[[0.08029508590698242], [0.13806796073913574]]",0.13806796073913574,0.0011620521545410156,0.13923001289367676,"[0.015000000000000013, 0.0, 0.926575, 0.9083600000000001, -0.13566999999999999, 0.249415, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.92857, 0.910025, -0.03543500000000001, 0.23571999999999999, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.937165, 0.917475, -0.13154500000000002, 0.309555, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.008784999999999932, 0.005860000000000087, 0.14067, 0.193585, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.006610000000000005, 0.007525000000000004, 0.040435, 0.17989, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.001835000000000031, 0.014975000000000072, 0.14654499999999998, 0.24372499999999997, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.008785000000000043, 0.005859999999999976, 0.14067, 0.193585, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.006610000000000005, 0.007525000000000004, 0.040435000000000006, 0.17989, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.00183499999999992, 0.01497499999999996, 0.14654500000000004, 0.24372500000000002, 1.3877787807814457e-17, 0.00917]]","[[5], [4]]",5
9,"[[""1.729366653176697e9""], [""1.729366653176826e9""]]","[[""1.729366653257475e9""], [""1.729366653305296e9""]]","[[0.02367], [0.06492]]","[[0.08077788352966309], [0.12846994400024414]]",0.12846994400024414,0.0012340545654296875,0.12970399856567383,"[0.015000000000000013, 0.0, 0.9301649999999999, 0.9117950000000001, -0.042265000000000004, 0.219265, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.94357, 0.930065, 0.007805000000000001, 0.191305, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9353699999999999, 0.9160049999999998, -0.04873499999999998, 0.258325, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.006705000000000072, 0.0070350000000001245, 0.047264999999999995, 0.15135500000000002, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.014449999999999963, 0.0066950000000000065, 0.0028049999999999985, 0.12445499999999998, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 3.999999999992898e-5, 0.013504999999999878, 0.06373500000000001, 0.19249499999999997, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.006704999999999961, 0.0070349999999999024, 0.047265, 0.151355, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.014450000000000074, 0.0066950000000000065, 0.002805000000000001, 0.124455, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 4.0000000000040004e-5, 0.0135050000000001, 0.06373499999999999, 0.19249500000000003, 1.3877787807814457e-17, 0.00917]]","[[6], [5]]",6
10,"[[""1.72936665330672e9""], [""1.72936665330685e9""]]","[[""1.729366653384181e9""], [""1.729366653425291e9""]]","[[0.0237], [0.06163]]","[[0.07746100425720215], [0.11844110488891602]]",0.11844110488891602,0.0015170574188232422,0.11995816230773926,"[0.015000000000000013, 0.0, 0.951065, 0.9382449999999998, 0.030529999999999998, 0.14529000000000003, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.96671, 0.9584000000000001, 0.029275000000000002, 0.123865, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9507, 0.9363800000000001, 0.026450000000000015, 0.155855, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.011544999999999916, 0.005135000000000223, 0.02553, 0.052789999999999976, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.016570000000000085, 0.016249999999999876, 0.024274999999999998, 0.031365000000000004, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.007920000000000038, 0.0010599999999999499, 0.011449999999999988, 0.068825, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.011545000000000027, 0.005134999999999779, 0.025529999999999997, 0.05279000000000003, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.016569999999999974, 0.016250000000000098, 0.024275, 0.031365000000000004, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.007920000000000038, 0.001060000000000061, 0.011450000000000016, 0.068825, 1.3877787807814457e-17, 0.00917]]","[[7], [6]]",7
