Iteration,TX_Time,RX_Time,Delay_process,Delay,D_K,Delay_cc,T_K,Z12,Primal_Residual,LocalUpdate,GlobalUpdate
1,"[[""1.729365932097716e9""], [""1.729365932097954e9""]]","[[""1.729365938372951e9""], [""1.729365938373726e9""]]","[Float64[], Float64[]]","[[0.16], [0.16]]",0.16,0.1999201774597168,0.35992017745971683,"[1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998, 1.0099999999999998]","[[0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787], [0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787, 0.009999999999999787]]","[Int64[], Int64[]]",NA
2,"[[""1.729365938573967e9""], [""1.729365938574102e9""]]","[[""1.729365939266531e9""], [""1.729365939267286e9""]]","[Float64[], Float64[]]","[[0.16], [0.16]]",0.16,0.0009529590606689453,0.16095295906066895,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[Int64[], Int64[]]",NA
3,"[[""1.72936593926845e9""], [""1.729365939268557e9""]]","[[""1.729365939384498e9""], [""1.729365939587645e9""]]","[[0.02419], Float64[]]","[[0.11604785919189453], [0.16]]",0.16,0.0009059906005859375,0.16090599060058594,"[0.5075000000000002, 0.5045850000000002, 0.9676800000000002, 0.9512500000000003, 0.8917250000000002, 0.6113700000000002, 0.5075000000000002, 0.5045850000000002, 0.5075000000000002, 0.5045850000000002, 0.9675900000000003, 0.9512500000000003, 0.8193500000000002, 0.6349750000000002, 0.5075000000000002, 0.5045850000000002, 0.5075000000000002, 0.5045850000000002, 0.9676650000000002, 0.9512500000000003, 0.9083450000000003, 0.5489450000000002, 0.5075000000000002, 0.5045850000000002]","[[0.49250000000000016, 0.49541500000000016, 0.03232000000000024, 0.04875000000000029, 0.10827500000000023, 0.3886300000000002, 0.49250000000000016, 0.49541500000000016, 0.49250000000000016, 0.49541500000000016, 0.03241000000000027, 0.04875000000000029, 0.1806500000000002, 0.36502500000000015, 0.49250000000000016, 0.49541500000000016, 0.49250000000000016, 0.49541500000000016, 0.032335000000000225, 0.04875000000000029, 0.09165500000000026, 0.4510550000000002, 0.49250000000000016, 0.49541500000000016], [0.4924999999999998, 0.4954149999999998, 0.03231999999999979, 0.04874999999999974, 0.10827499999999979, 0.3886299999999998, 0.4924999999999998, 0.4954149999999998, 0.4924999999999998, 0.4954149999999998, 0.03240999999999972, 0.04874999999999974, 0.18064999999999976, 0.3650249999999998, 0.4924999999999998, 0.4954149999999998, 0.4924999999999998, 0.4954149999999998, 0.03233499999999978, 0.04874999999999974, 0.09165499999999971, 0.45105499999999976, 0.4924999999999998, 0.4954149999999998]]","[[1], Int64[]]",1
4,"[[""1.72936593958873e9""], [""1.729365939588845e9""]]","[[""1.729365939674418e9""], [""1.729365939747695e9""]]","[[0.02336], [0.07908]]","[[0.08568787574768066], [0.15884995460510254]]",0.15884995460510254,0.0010809898376464844,0.15993094444274902,"[0.015000000000000097, 0.009165000000000062, 0.9638, 0.9440599999999999, 0.39423, 0.15761999999999998, 0.015000000000000097, 5.551115123125783e-17, 0.015000000000000097, 0.009165000000000062, 0.9642349999999998, 0.9434449999999999, 0.32185, 0.18122500000000008, 0.015000000000000097, 5.551115123125783e-17, 0.015000000000000097, 0.009165000000000062, 0.967665, 0.9489599999999999, 0.41584999999999994, 0.08186000000000002, 0.015000000000000097, 5.551115123125783e-17]","[[9.71445146547012e-17, 4.999999999937346e-6, 0.02844000000000002, 0.04155999999999993, 0.38923, 0.06512000000000001, 9.71445146547012e-17, 0.009169999999999944, 9.71445146547012e-17, 4.999999999937346e-6, 0.02905499999999983, 0.0409449999999999, 0.31685, 0.08872499999999994, 9.71445146547012e-17, 0.009169999999999944, 9.71445146547012e-17, 4.999999999937346e-6, 0.032335, 0.046459999999999946, 0.40085000000000004, 0.01602999999999999, 9.71445146547012e-17, 0.009169999999999944], [9.71445146547012e-17, 5.000000000062246e-6, 0.02844000000000002, 0.04156000000000015, 0.38923, 0.06511999999999998, 9.71445146547012e-17, 0.009170000000000055, 9.71445146547012e-17, 5.000000000062246e-6, 0.029055000000000164, 0.04094500000000012, 0.31685, 0.08872500000000008, 9.71445146547012e-17, 0.009170000000000055, 9.71445146547012e-17, 5.000000000062246e-6, 0.032335, 0.04646000000000006, 0.40084999999999993, 0.016030000000000016, 9.71445146547012e-17, 0.009170000000000055]]","[[2], [1]]",2
5,"[[""1.729365939748953e9""], [""1.729365939749055e9""]]","[[""1.72936593983386e9""], [""1.729365939858472e9""]]","[[0.02281], [0.05381]]","[[0.08490681648254395], [0.10941720008850098]]",0.10941720008850098,0.0010738372802734375,0.11049103736877441,"[0.015000000000000013, 0.0, 0.94277, 0.924555, 0.04214999999999999, 0.216855, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9428200000000001, 0.9242750000000001, 0.07348000000000002, 0.215045, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.948485, 0.9288, 0.05050999999999997, 0.231035, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.007410000000000028, 0.022055000000000047, 0.03715, 0.161025, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.007640000000000091, 0.0217750000000001, 0.06847999999999999, 0.159215, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.013155000000000028, 0.02629999999999999, 0.03551000000000003, 0.165205, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.007410000000000028, 0.022054999999999936, 0.037149999999999996, 0.161025, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.007639999999999869, 0.021774999999999878, 0.06848000000000001, 0.159215, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.013155000000000028, 0.02629999999999999, 0.03550999999999997, 0.165205, 1.3877787807814457e-17, 0.00917]]","[[3], [2]]",3
6,"[[""1.729365939859731e9""], [""1.729365939859854e9""]]","[[""1.729365939940465e9""], [""1.729365939977259e9""]]","[[0.02206], [0.06168]]","[[0.0807340145111084], [0.11740493774414062]]",0.11740493774414062,0.0010480880737304688,0.1184530258178711,"[0.015000000000000013, 0.0, 0.934795, 0.92077, -0.143, 0.20062, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.941525, 0.9292499999999999, -0.06906500000000003, 0.17863500000000002, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9446599999999999, 0.9287299999999999, -0.14551499999999995, 0.25548499999999996, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.017235, 0.006730000000000014, 0.148, 0.14479, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01896500000000001, 0.011210000000000053, 0.07406499999999998, 0.12198499999999998, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005700000000000038, 0.003689999999999971, 0.16051500000000007, 0.18965500000000002, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.017235, 0.006730000000000014, 0.148, 0.14479, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0189649999999999, 0.011209999999999942, 0.07406500000000003, 0.12198500000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005699999999999927, 0.003690000000000082, 0.16051499999999996, 0.18965499999999996, 1.3877787807814457e-17, 0.00917]]","[[4], [3]]",4
7,"[[""1.729365939978484e9""], [""1.729365939978637e9""]]","[[""1.729365940053717e9""], [""1.729365940097702e9""]]","[[0.02221], [0.05816]]","[[0.07523298263549805], [0.1190650463104248]]",0.1190650463104248,0.0011050701141357422,0.12017011642456055,"[0.015000000000000013, 0.0, 0.9578599999999999, 0.9485399999999999, -0.16009, 0.14885500000000002, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.966805, 0.958995, -0.09758999999999998, 0.12559499999999998, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9609800000000001, 0.95086, -0.16268000000000002, 0.19139500000000004, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.01868000000000003, 0.015730000000000022, 0.16509000000000001, 0.05635499999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.018185000000000007, 0.018224999999999936, 0.10259000000000001, 0.03309500000000001, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01537999999999995, 0.013189999999999924, 0.17767999999999998, 0.10090499999999997, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.01867999999999992, 0.01572999999999991, 0.16509000000000001, 0.056355000000000016, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.018185000000000007, 0.018225000000000047, 0.10258999999999999, 0.033094999999999986, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01538000000000006, 0.013190000000000035, 0.17768, 0.10090500000000004, 1.3877787807814457e-17, 0.00917]]","[[5], [4]]",5
8,"[[""1.729365940098986e9""], [""1.729365940099117e9""]]","[[""1.729365940184811e9""], [""1.729365940217465e9""]]","[[0.02242], [0.06119]]","[[0.08582520484924316], [0.1183478832244873]]",0.1183478832244873,0.001062154769897461,0.11941003799438477,"[0.015000000000000013, 0.0, 0.9780500000000001, 0.97236, -0.084405, 0.09645999999999998, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9873700000000001, 0.9823599999999999, -0.06072000000000001, 0.082255, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9733299999999999, 0.96589, -0.082145, 0.118525, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.012799999999999923, 0.013369999999999993, 0.089405, 0.003960000000000019, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.007789999999999964, 0.010120000000000129, 0.06571999999999999, 0.01024499999999999, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01701000000000008, 0.01912999999999998, 0.09714500000000001, 0.016024999999999998, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.012800000000000034, 0.013369999999999993, 0.089405, 0.003959999999999977, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.007790000000000075, 0.010119999999999907, 0.06572000000000001, 0.010245000000000004, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.01700999999999997, 0.01912999999999998, 0.097145, 0.01602500000000001, 1.3877787807814457e-17, 0.00917]]","[[6], [5]]",6
9,"[[""1.729365940218726e9""], [""1.729365940218836e9""]]","[[""1.729365940314512e9""], [""1.729365940348421e9""]]","[[0.02367], [0.06347]]","[[0.09578609466552734], [0.12958502769470215]]",0.12958502769470215,0.000885009765625,0.13047003746032715,"[0.015000000000000013, 0.0, 0.9983949999999999, 0.9936550000000001, -0.00028500000000000053, 0.067715, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9993449999999999, 0.99626, -0.01098999999999999, 0.053445, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9884700000000001, 0.98157, 0.006574999999999991, 0.07017000000000001, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.0016049999999999676, 0.0009849999999999026, 0.005285, 0.024784999999999995, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0006549999999999612, 0.0014999999999999458, 0.01599000000000001, 0.020104999999999998, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0011199999999998989, 0.0023099999999999232, 0.008424999999999992, 0.02036000000000001, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.0016050000000000786, 0.0009850000000000136, 0.005285000000000001, 0.024785, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0006550000000000722, 0.0015000000000000568, 0.01598999999999999, 0.020105000000000005, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.001120000000000121, 0.0023100000000000342, 0.008425000000000009, 0.02035999999999999, 1.3877787807814457e-17, 0.00917]]","[[7], [6]]",7
10,"[[""1.729365940349488e9""], [""1.729365940349601e9""]]","[[""1.729365940432385e9""], [""1.72936594047844e9""]]","[[0.02348], [0.06565]]","[[0.08289694786071777], [0.12883901596069336]]",0.12883901596069336,0.0014109611511230469,0.1302499771118164,"[0.015000000000000013, 0.0, 1.000045, 0.99708, 0.042815, 0.042625, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 1.00127, 0.9984649999999999, 0.019885, 0.03868, 0.015000000000000013, 0.0, 0.015000000000000013, 0.0, 0.9943799999999999, 0.9880599999999999, 0.055515, 0.04076499999999999, 0.015000000000000013, 0.0]","[[1.3877787807814457e-17, 0.00917, 0.003575000000000106, 0.0029199999999999227, 0.037814999999999994, 0.013585000000000003, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0031400000000001427, 0.001534999999999953, 0.014885000000000002, 0.01715, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005619999999999958, 0.005409999999999915, 0.040515, 0.02506499999999999, 1.3877787807814457e-17, 0.00917], [1.3877787807814457e-17, 0.00917, 0.003574999999999884, 0.0029200000000000337, 0.037815, 0.013585, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.0031399999999999206, 0.001535000000000064, 0.014884999999999999, 0.01715, 1.3877787807814457e-17, 0.00917, 1.3877787807814457e-17, 0.00917, 0.005620000000000069, 0.005410000000000026, 0.040515, 0.02506500000000001, 1.3877787807814457e-17, 0.00917]]","[[8], [7]]",8
