Iteration,Delay,D_K,Delay_cc,T_K
1,"[[9.726093053817749], [14.937394857406616]]",0.4,0.23888492584228516,0.6388849258422852
2,"[[0.2428288459777832], [0.2672090530395508]]",0.2672090530395508,0.010708093643188477,0.27791714668273926
3,"[[0.08459687232971191], [0.2901480197906494]]",0.2901480197906494,0.010599136352539062,0.3007471561431885
4,"[[0.290693998336792], [0.28655195236206055]]",0.290693998336792,0.009604930877685547,0.30029892921447754
5,"[[0.09243297576904297], [0.28571319580078125]]",0.28571319580078125,0.009689807891845703,0.29540300369262695
6,"[[0.11883211135864258], [0.29752111434936523]]",0.29752111434936523,0.00942087173461914,0.3069419860839844
7,"[[0.3685169219970703], [0.2738170623779297]]",0.3685169219970703,0.008497953414916992,0.3770148754119873
8,"[[0.10036301612854004], [0.28395605087280273]]",0.28395605087280273,0.009701013565063477,0.2936570644378662
9,"[[0.0959329605102539], [0.2872579097747803]]",0.2872579097747803,0.009644031524658203,0.2969019412994385
10,"[[0.09002113342285156], [0.2712259292602539]]",0.2712259292602539,0.009947061538696289,0.2811729907989502
11,"[[0.38559389114379883], [0.2589089870452881]]",0.38559389114379883,0.009367227554321289,0.3949611186981201
12,"[[0.08447408676147461], [0.2526249885559082]]",0.2526249885559082,0.012098073959350586,0.2647230625152588
13,"[[0.09340286254882812], [0.24660205841064453]]",0.24660205841064453,0.011560916900634766,0.2581629753112793
14,"[[0.08640408515930176], [0.2571289539337158]]",0.2571289539337158,0.009445905685424805,0.2665748596191406
15,"[[0.08873105049133301], [0.24924707412719727]]",0.24924707412719727,0.01909804344177246,0.2683451175689697
16,"[[0.08663487434387207], [0.2597050666809082]]",0.2597050666809082,0.009756088256835938,0.26946115493774414
17,"[[0.09526801109313965], [0.2463691234588623]]",0.2463691234588623,0.009135961532592773,0.2555050849914551
18,"[[0.0708768367767334], [0.24938511848449707]]",0.24938511848449707,0.01798391342163086,0.26736903190612793
19,"[[0.08511185646057129], [0.2584989070892334]]",0.2584989070892334,0.0184628963470459,0.2769618034362793
20,"[[0.08415389060974121], [0.25739407539367676]]",0.25739407539367676,0.019012928009033203,0.27640700340270996
21,"[[0.08348584175109863], [0.2586808204650879]]",0.2586808204650879,0.008888006210327148,0.26756882667541504
22,"[[0.08362507820129395], [0.2471609115600586]]",0.2471609115600586,0.008419990539550781,0.2555809020996094
23,"[[0.08851194381713867], [0.24985504150390625]]",0.24985504150390625,0.009657859802246094,0.25951290130615234
24,"[[0.12432003021240234], [0.24790716171264648]]",0.24790716171264648,0.008865833282470703,0.2567729949951172
25,"[[0.0674901008605957], [0.24904203414916992]]",0.24904203414916992,0.008594036102294922,0.25763607025146484
26,"[[0.07985901832580566], [0.2492539882659912]]",0.2492539882659912,0.008565902709960938,0.25781989097595215
27,"[[0.08586406707763672], [0.2493429183959961]]",0.2493429183959961,0.008507013320922852,0.25784993171691895
28,"[[0.07051801681518555], [0.24111700057983398]]",0.24111700057983398,0.009212017059326172,0.25032901763916016
29,"[[0.07775402069091797], [0.23862600326538086]]",0.23862600326538086,0.008630037307739258,0.24725604057312012
30,"[[0.06844711303710938], [0.26696109771728516]]",0.26696109771728516,0.008544921875,0.27550601959228516
31,"[[0.0835580825805664], [0.2592151165008545]]",0.2592151165008545,0.010493040084838867,0.26970815658569336
32,"[[0.08151912689208984], [0.23675107955932617]]",0.23675107955932617,0.011013984680175781,0.24776506423950195
33,"[[0.0756230354309082], [0.25420379638671875]]",0.25420379638671875,0.010968208312988281,0.26517200469970703
34,"[[0.07698798179626465], [0.24539804458618164]]",0.24539804458618164,0.01014089584350586,0.2555389404296875
35,"[[0.08343005180358887], [0.2467968463897705]]",0.2467968463897705,0.010662078857421875,0.2574589252471924
36,"[[0.08255887031555176], [0.2559680938720703]]",0.2559680938720703,0.010556936264038086,0.2665250301361084
37,"[[0.08441495895385742], [0.25610995292663574]]",0.25610995292663574,0.009965896606445312,0.26607584953308105
38,"[[0.08337998390197754], [0.254849910736084]]",0.254849910736084,0.010329961776733398,0.2651798725128174
39,"[[0.18684697151184082], [0.2582859992980957]]",0.2582859992980957,0.01000213623046875,0.26828813552856445
40,"[[0.08296918869018555], [0.24716901779174805]]",0.24716901779174805,0.011708974838256836,0.2588779926300049
41,"[[0.2920401096343994], [0.25366997718811035]]",0.2920401096343994,0.010757923126220703,0.3027980327606201
42,"[[0.09148001670837402], [0.2567331790924072]]",0.2567331790924072,0.01246786117553711,0.26920104026794434
