Iteration,TX_Time,RX_Time,Delay,D_K,Delay_cc,T_K
1,"[[""1.72654321521469e9""], [""1.72654321521502e9""]]","[[""1.726543223084093e9""], [""1.726543231560139e9""]]","[[7.869403123855591], [16.3451189994812]]",0.4,0.22141408920288086,0.6214140892028809
2,"[[""1.726543231782e9""], [""1.72654323178224e9""]]","[[""1.726543232441882e9""], [""1.726543232063349e9""]]","[[0.6598818302154541], [0.281109094619751]]",0.4,0.008379220962524414,0.40837922096252444
3,"[[""1.726543232450699e9""], [""1.72654323245089e9""]]","[[""1.72654323255193e9""], [""1.726543232845584e9""]]","[[0.10123085975646973], [0.39469385147094727]]",0.39469385147094727,0.007436990737915039,0.4021308422088623
4,"[[""1.726543232853554e9""], [""1.726543232853751e9""]]","[[""1.726543233186833e9""], [""1.726543233126951e9""]]","[[0.3332788944244385], [0.27320003509521484]]",0.3332788944244385,0.007379055023193359,0.34065794944763184
5,"[[""1.726543233194861e9""], [""1.726543233195062e9""]]","[[""1.726543248114038e9""], [""1.726543233475158e9""]]","[[14.919177055358887], [0.28009605407714844]]",0.4,0.007790088653564453,0.4077900886535645
6,"[[""1.726543248122561e9""], [""1.726543248122762e9""]]","[[""1.726543248230961e9""], [""1.726543249197846e9""]]","[[0.10840010643005371], [1.0750839710235596]]",0.4,0.0063669681549072266,0.40636696815490725
7,"[[""1.726543249204881e9""], [""1.726543249205074e9""]]","[[""1.726543249370936e9""], [""1.726543249488317e9""]]","[[0.16605496406555176], [0.28324294090270996]]",0.28324294090270996,0.006310939788818359,0.2895538806915283
8,"[[""1.72654324949534e9""], [""1.726543249495526e9""]]","[[""1.726543249575783e9""], [""1.726543249776267e9""]]","[[0.08044290542602539], [0.28074097633361816]]",0.28074097633361816,0.006636857986450195,0.28737783432006836
9,"[[""1.726543249783666e9""], [""1.726543249783858e9""]]","[[""1.726543249860997e9""], [""1.726543250057851e9""]]","[[0.0773310661315918], [0.27399301528930664]]",0.27399301528930664,0.0060808658599853516,0.280073881149292
10,"[[""1.72654325006483e9""], [""1.726543250065036e9""]]","[[""1.726543250146081e9""], [""1.726543250335973e9""]]","[[0.08125090599060059], [0.2709369659423828]]",0.2709369659423828,0.00628209114074707,0.2772190570831299
11,"[[""1.726543250343115e9""], [""1.72654325034332e9""]]","[[""1.726543250431229e9""], [""1.726543250597889e9""]]","[[0.08811402320861816], [0.25456905364990234]]",0.25456905364990234,0.0059740543365478516,0.2605431079864502
12,"[[""1.726543250604811e9""], [""1.726543250605006e9""]]","[[""1.726543250680863e9""], [""1.726543250856057e9""]]","[[0.07605195045471191], [0.2510509490966797]]",0.2510509490966797,0.0074100494384765625,0.25846099853515625
13,"[[""1.726543250864669e9""], [""1.72654325086486e9""]]","[[""1.726543250941061e9""], [""1.726543251118043e9""]]","[[0.07639193534851074], [0.25318288803100586]]",0.25318288803100586,0.005769014358520508,0.25895190238952637
14,"[[""1.726543251124847e9""], [""1.726543251125035e9""]]","[[""1.726543251206092e9""], [""1.72654325137822e9""]]","[[0.08124494552612305], [0.2531850337982178]]",0.2531850337982178,0.006065845489501953,0.2592508792877197
15,"[[""1.726543251385401e9""], [""1.726543251385584e9""]]","[[""1.7265432514659e9""], [""1.726543251645765e9""]]","[[0.08049893379211426], [0.2601809501647949]]",0.2601809501647949,0.00627589225769043,0.26645684242248535
16,"[[""1.726543251653233e9""], [""1.726543251653424e9""]]","[[""1.726543251735818e9""], [""1.726543251907899e9""]]","[[0.08258485794067383], [0.2544748783111572]]",0.2544748783111572,0.006182193756103516,0.26065707206726074
17,"[[""1.726543251915319e9""], [""1.726543251915503e9""]]","[[""1.72654325200095e9""], [""1.72654325217595e9""]]","[[0.08563113212585449], [0.26044702529907227]]",0.26044702529907227,0.006264925003051758,0.266711950302124
