Iteration,TX_Time,RX_Time,Delay,D_K,Delay_cc,T_K,Z12
1,"[[""1.727123372091531e9""], [""1.727123372091808e9""]]","[[""1.72712338033353e9""], [""1.727123384360732e9""]]","[[8.24199891090393], [12.268923997879028]]",0.4,0.19972491264343262,0.5997249126434326,"[0.025, 0.019200000000000002, 0.9863500000000001, 0.96745, 0.40075, 0.15915, 0.025, 0.019200000000000002, 0.025, 0.019200000000000002, 0.9873500000000001, 0.9681000000000001, 0.32955, 0.18255, 0.025, 0.019200000000000002, 0.025, 0.019200000000000002, 0.9909, 0.9705, 0.4222, 0.10255, 0.025, 0.019200000000000002]"
2,"[[""1.727123384560827e9""], [""1.727123384561036e9""]]","[[""1.727123384860383e9""], [""1.727123384820641e9""]]","[[0.29955601692199707], [0.25960493087768555]]",0.29955601692199707,0.007358074188232422,0.3069140911102295,"[0.014999999999999998, 0.009199999999999998, 0.9954000000000001, 0.9895499999999999, 0.007450000000000012, 0.08079999999999998, 0.014999999999999998, -1.9775847626135603e-18, 0.014999999999999998, 0.009199999999999998, 0.99515, 0.9880999999999999, 0.006599999999999995, 0.07815, 0.014999999999999998, -1.9775847626135603e-18, 0.014999999999999998, 0.009199999999999998, 0.99485, 0.9894499999999999, 0.016250000000000014, 0.06665, 0.014999999999999998, -1.9775847626135603e-18]"
3,"[[""1.727123384868122e9""], [""1.727123384868354e9""]]","[[""1.727123384950371e9""], [""1.72712338517897e9""]]","[[0.08224892616271973], [0.31061601638793945]]",0.31061601638793945,0.006107807159423828,0.3167238235473633,"[0.015, 0.0092, 1.00965, 1.0099999999999998, -0.18790000000000004, 0.05315, 0.015, -0.0092, 0.015, 0.0092, 1.0075, 1.00565, -0.1536, 0.039099999999999996, 0.015, -0.0092, 0.015, 0.0092, 1.01075, 1.0131999999999999, -0.185, 0.0547, 0.015, -0.00555]"
4,"[[""1.727123385185578e9""], [""1.727123385185764e9""]]","[[""1.727123385459717e9""], [""1.727123385463566e9""]]","[[0.2741389274597168], [0.2778019905090332]]",0.2778019905090332,0.006172895431518555,0.28397488594055176,"[0.015, 0.0092, 1.0115999999999998, 1.0132, -0.1889, 0.0388, 0.015, -0.0092, 0.015, 0.0092, 1.0085, 1.0080500000000001, -0.15585, 0.025500000000000002, 0.015, -0.0092, 0.015, 0.0092, 1.01765, 1.0201500000000001, -0.1859, 0.0487, 0.015, -0.00415]"
5,"[[""1.727123385470272e9""], [""1.727123385470442e9""]]","[[""1.727123385570314e9""], [""1.727123385898569e9""]]","[[0.10004186630249023], [0.4281270503997803]]",0.4,0.00759577751159668,0.4075957775115967,"[0.015, 0.0092, 1.0071500000000002, 1.0069000000000001, -0.0935, 0.03425, 0.015, -0.0037, 0.015, 0.0092, 1.0047, 1.0039, -0.0761, 0.02345, 0.015, 0.0, 0.015, 0.0092, 1.0129000000000001, 1.01215, -0.08714999999999996, 0.04285, 0.015, 0.0002499999999999999]"
6,"[[""1.727123385906888e9""], [""1.727123385907062e9""]]","[[""1.727123386095337e9""], [""1.727123386199368e9""]]","[[0.18844890594482422], [0.29230594635009766]]",0.29230594635009766,0.00689697265625,0.29920291900634766,"[0.015, 0.0092, 1.0025999999999997, 1.0007499999999998, 0.0014000000000000054, 0.029099999999999994, 0.015, 0.0008999999999999993, 0.015, 0.0092, 1.0026, 1.00065, 0.002700000000000001, 0.02475, 0.015, 0.004599999999999999, 0.015, 0.0092, 1.0055, 1.002, 0.011450000000000002, 0.0341, 0.015, 0.006899999999999998]"
7,"[[""1.727123386206909e9""], [""1.727123386207077e9""]]","[[""1.727123386285468e9""], [""1.727123386498661e9""]]","[[0.07855916023254395], [0.2915840148925781]]",0.2915840148925781,0.007987022399902344,0.29957103729248047,"[0.015, 0.0092, 0.9996500000000003, 0.9966999999999999, 0.05034999999999999, 0.0305, 0.015, 0.007349999999999999, 0.015, 0.0092, 1.0004, 0.9974499999999998, 0.043250000000000004, 0.030599999999999995, 0.015, 0.0092, 0.015, 0.0092, 1.0002499999999999, 0.9948499999999999, 0.06175, 0.034350000000000006, 0.015, 0.009200000000000002]"
8,"[[""1.727123386507738e9""], [""1.727123386507998e9""]]","[[""1.72712338659849e9""], [""1.727123386788953e9""]]","[[0.09075188636779785], [0.28095507621765137]]",0.28095507621765137,0.0063588619232177734,0.28731393814086914,"[0.015, 0.0092, 0.99805, 0.99495, 0.05184999999999999, 0.0344, 0.015, 0.0092, 0.015, 0.0092, 0.9980500000000001, 0.9947, 0.044399999999999995, 0.0359, 0.015, 0.0092, 0.015, 0.0092, 0.9963, 0.99045, 0.0628, 0.039349999999999996, 0.015, 0.009199999999999998]"
9,"[[""1.727123386796059e9""], [""1.727123386796229e9""]]","[[""1.727123386880348e9""], [""1.72712338707087e9""]]","[[0.0842890739440918], [0.2746410369873047]]",0.2746410369873047,0.0063669681549072266,0.2810080051422119,"[0.015, 0.0092, 0.9982, 0.9954000000000001, 0.028999999999999998, 0.037649999999999996, 0.015, 0.0092, 0.015, 0.0092, 0.99655, 0.9932499999999999, 0.025149999999999992, 0.0388, 0.015, 0.0092, 0.015, 0.0092, 0.9943500000000001, 0.9887999999999999, 0.03920000000000001, 0.045, 0.015, 0.009200000000000002]"
10,"[[""1.727123387078108e9""], [""1.727123387078303e9""]]","[[""1.727123387390273e9""], [""1.727123387340739e9""]]","[[0.3121650218963623], [0.2624359130859375]]",0.3121650218963623,0.006100893020629883,0.3182659149169922,"[0.015, 0.0092, 0.9991, 0.9968000000000001, 0.005399999999999999, 0.03875, 0.015, 0.0092, 0.015, 0.0092, 0.9968999999999999, 0.9937500000000001, 0.005300000000000003, 0.03944999999999999, 0.015, 0.0092, 0.015, 0.0092, 0.9939, 0.98875, 0.015249999999999996, 0.04865, 0.015, 0.009199999999999998]"
11,"[[""1.727123387397252e9""], [""1.727123387397421e9""]]","[[""1.727123387490852e9""], [""1.727123387658836e9""]]","[[0.09360003471374512], [0.2614150047302246]]",0.2614150047302246,0.006517171859741211,0.2679321765899658,"[0.015, 0.0092, 0.9989499999999999, 0.9969999999999999, -0.0066, 0.0382, 0.015, 0.0092, 0.015, 0.0092, 0.9974000000000001, 0.9944999999999999, -0.004999999999999999, 0.0383, 0.015, 0.0092, 0.015, 0.0092, 0.99265, 0.9878, 0.0030999999999999986, 0.049600000000000005, 0.015, 0.009200000000000002]"
12,"[[""1.727123387666344e9""], [""1.727123387666537e9""]]","[[""1.727123387750366e9""], [""1.727123387910654e9""]]","[[0.08402204513549805], [0.24411702156066895]]",0.24411702156066895,0.00819087028503418,0.2523078918457031,"[0.015, 0.0092, 0.9989500000000001, 0.99705, -0.006550000000000001, 0.0374, 0.015, 0.0092, 0.015, 0.0092, 0.9978499999999999, 0.99515, -0.0055, 0.03675, 0.015, 0.0092, 0.015, 0.0092, 0.9915499999999999, 0.9867000000000001, 0.0029499999999999995, 0.0493, 0.015, 0.009199999999999998]"
13,"[[""1.727123387920081e9""], [""1.727123387920334e9""]]","[[""1.727123388004504e9""], [""1.727123388170784e9""]]","[[0.08442306518554688], [0.25044989585876465]]",0.25044989585876465,0.006670951843261719,0.25712084770202637,"[0.015, 0.0092, 0.9987499999999999, 0.99675, -0.0006000000000000007, 0.0366, 0.015, 0.0092, 0.015, 0.0092, 0.9974000000000001, 0.99475, -0.0009500000000000003, 0.0358, 0.015, 0.0092, 0.015, 0.0092, 0.9906500000000001, 0.9855999999999999, 0.00895, 0.04855000000000001, 0.015, 0.009200000000000002]"
14,"[[""1.727123388178591e9""], [""1.727123388178793e9""]]","[[""1.727123388263484e9""], [""1.727123388436526e9""]]","[[0.08489298820495605], [0.2577331066131592]]",0.2577331066131592,0.006386995315551758,0.26412010192871094,"[0.015, 0.0092, 0.9986, 0.9964999999999999, 0.0053, 0.03625, 0.015, 0.0092, 0.015, 0.0092, 0.9964500000000001, 0.99375, 0.004, 0.03595, 0.015, 0.0092, 0.015, 0.0092, 0.9898999999999999, 0.98465, 0.015099999999999999, 0.04794999999999999, 0.015, 0.009199999999999998]"
15,"[[""1.727123388444005e9""], [""1.727123388444232e9""]]","[[""1.727123388522836e9""], [""1.727123388690926e9""]]","[[0.07883095741271973], [0.24669408798217773]]",0.24669408798217773,0.007704019546508789,0.2543981075286865,"[0.015, 0.0092, 0.9985499999999999, 0.9964500000000001, 0.0081, 0.0362, 0.015, 0.0092, 0.015, 0.0092, 0.99535, 0.9924999999999999, 0.006699999999999999, 0.0368, 0.015, 0.0092, 0.015, 0.0092, 0.9894, 0.9841, 0.018349999999999998, 0.04765, 0.015, 0.009200000000000002]"
16,"[[""1.727123388699973e9""], [""1.727123388700252e9""]]","[[""1.727123388775402e9""], [""1.727123388970603e9""]]","[[0.07542896270751953], [0.27035093307495117]]",0.27035093307495117,0.006737947463989258,0.27708888053894043,"[0.015, 0.0092, 0.9986, 0.99655, 0.007850000000000001, 0.03635, 0.015, 0.0092, 0.015, 0.0092, 0.9942500000000001, 0.9913, 0.00695, 0.03774999999999999, 0.015, 0.0092, 0.015, 0.0092, 0.9893000000000001, 0.9840500000000001, 0.018550000000000004, 0.04775, 0.015, 0.009199999999999998]"
17,"[[""1.727123388979407e9""], [""1.727123388979612e9""]]","[[""1.727123389055482e9""], [""1.727123389236816e9""]]","[[0.07607483863830566], [0.2572038173675537]]",0.2572038173675537,0.006680965423583984,0.2638847827911377,"[0.015, 0.0092, 0.99875, 0.99675, 0.0062, 0.03655, 0.015, 0.0092, 0.015, 0.0092, 0.9935999999999998, 0.99045, 0.005899999999999999, 0.03845, 0.015, 0.0092, 0.015, 0.0092, 0.98965, 0.9843999999999999, 0.017249999999999998, 0.047950000000000007, 0.015, 0.009200000000000002]"
18,"[[""1.72712338924526e9""], [""1.727123389245622e9""]]","[[""1.727123389336347e9""], [""1.727123389498888e9""]]","[[0.09108710289001465], [0.2532660961151123]]",0.2532660961151123,0.006852865219116211,0.2601189613342285,"[0.015, 0.0092, 0.9988, 0.99685, 0.004499999999999999, 0.036599999999999994, 0.015, 0.0092, 0.015, 0.0092, 0.9932500000000001, 0.9901, 0.00485, 0.0387, 0.015, 0.0092, 0.015, 0.0092, 0.9902000000000001, 0.9850500000000001, 0.0157, 0.0479, 0.015, 0.009199999999999998]"
19,"[[""1.727123389508066e9""], [""1.727123389508497e9""]]","[[""1.727123389594398e9""], [""1.727123389759166e9""]]","[[0.08633208274841309], [0.250669002532959]]",0.250669002532959,0.006872892379760742,0.2575418949127197,"[0.015, 0.0092, 0.9988, 0.99685, 0.0036500000000000013, 0.0367, 0.015, 0.0092, 0.015, 0.0092, 0.99325, 0.99005, 0.004399999999999999, 0.038650000000000004, 0.015, 0.0092, 0.015, 0.0092, 0.9907499999999999, 0.98575, 0.0148, 0.04765, 0.015, 0.009200000000000002]"
20,"[[""1.727123389767615e9""], [""1.727123389767824e9""]]","[[""1.727123389853569e9""], [""1.727123390018648e9""]]","[[0.08595395088195801], [0.250823974609375]]",0.250823974609375,0.006832122802734375,0.2576560974121094,"[0.015, 0.0092, 0.9985, 0.9964999999999999, 0.0037, 0.03675, 0.015, 0.0092, 0.015, 0.0092, 0.9934500000000002, 0.9903, 0.004400000000000001, 0.03845, 0.015, 0.0092, 0.015, 0.0092, 0.99125, 0.9862, 0.014650000000000002, 0.04730000000000001, 0.015, 0.009199999999999998]"
21,"[[""1.727123390027527e9""], [""1.727123390027778e9""]]","[[""1.727123390180426e9""], [""1.72712339027889e9""]]","[[0.15289878845214844], [0.2511119842529297]]",0.2511119842529297,0.006682157516479492,0.2577941417694092,"[0.015, 0.0092, 0.99775, 0.9957, 0.00415, 0.0369, 0.015, 0.0092, 0.015, 0.0092, 0.9938499999999999, 0.99075, 0.004700000000000001, 0.038, 0.015, 0.0092, 0.015, 0.0092, 0.9914000000000001, 0.98645, 0.0149, 0.047049999999999995, 0.015, 0.009200000000000002]"
22,"[[""1.72712339028717e9""], [""1.727123390287425e9""]]","[[""1.7271233903709e9""], [""1.727123390539292e9""]]","[[0.08372998237609863], [0.25186705589294434]]",0.25186705589294434,0.006901979446411133,0.25876903533935547,"[0.015, 0.0092, 0.9969499999999999, 0.99475, 0.00475, 0.03724999999999999, 0.015, 0.0092, 0.015, 0.0092, 0.9943, 0.9912500000000001, 0.004999999999999999, 0.037649999999999996, 0.015, 0.0092, 0.015, 0.0092, 0.9914499999999999, 0.9864499999999998, 0.015050000000000001, 0.047, 0.015, 0.009199999999999998]"
